ID,Name,Description,Province,Tags
19,Aadeshwar Mahadev Temple,the ancient adeshwar mahadev temple is a revered religious site located in ichangu within the nagarjun municipality of kathmandu district nepal perched on a hill the temple is situated a short distance from the main road of ichangu offering a peaceful and spiritual atmosphere for visitor dedicated to lord shiva also known a mahadev the temple is an important pilgrimage site for hindu especially for those seeking blessing and spiritual solace the temple ’ s location on the hill provides a serene environment surrounded by nature making it an ideal place for meditation prayer and reflection it hold historical significance being an ancient temple that ha witnessed century of religious practice local devotee visit the adeshwar mahadev temple regularly particularly during festival such a maha shivaratri to offer prayer and perform ritual the temple simple yet spiritual setting attracts both local and tourist who are interested in experiencing nepal religious heritage,Bagmati Province,hindutemplepilgrimagehistorical beauty
20,Aadipadma Mahavihar,aadipadma mahavihar is a prominent buddhist monastery located in bhaktapur nepal this historic site is significant for it spiritual and cultural heritage offering a peaceful environment for meditation prayer and buddhist ritual the term mahavihar refers to a large and important monastery and aadipadma is one of the many monastery in the kathmandu valley that is revered by both local and buddhist pilgrim the monastery is known for it serene surroundings intricate wood and stone carving and traditional newar architecture which is characteristic of bhaktapurs cultural landscape visitor to aadipadma mahavihar can explore it sacred space learn about the teaching of buddhism and witness local practice it serf a both a place of worship and a center for learning preserving nepal rich buddhist tradition the site is especially meaningful to those interested in exploring the spiritual heritage of bhaktapur one of nepal ’ s ancient city,Bagmati Province,historicalculturalbuddhist monastery
23,Aakash Bhairab Mandir,the akash bhairav temple is a significant religious site in nepal believed to have originally been the palace of the kiranti king yalambar around 3100 to 3500 year ago the area surrounding the temple is known a yen which symbolizes the ne of nepal where ne mean midland in the kiranti language this highlight the deep historical and cultural tie of the site to ancient nepalese civilization one of the most remarkable aspect of the akash bhairav temple is the head of akash bhairav which wa unearthed several hundred year ago in kathmandu this head is taken out once a year during the yenya festival which typically take place in august or september during the festival the head is blessed by the kumari the living goddess residing in nearby basantapur this annual ceremony draw a large number of worshipper who offer peda sweet made from milk flower money and other item a part of their devotion the akash bhairav temple hold a special place in nepalese history with the royal family showing respect for the deity in the past the king of nepal including king gyanendra and king birendra have participated in the ceremonial exchange of sword with the akash bhairav offering deep reverence to this historic icon the temple and it ritual reflect the rich cultural and spiritual heritage of nepal drawing both local devotee and visitor alike to witness the ceremony and pay homage to the ancient deity,Bagmati Province,hindutemplepilgrimagecultural significance
31,Aasha Church,aasha church is located in majhuwa meghe chautara diktel sadak and lafyang with the postal code 56200 nepal this church serf a a place of worship for the local christian community offering spiritual guidance and a welcoming environment for those seeking to deepen their faith the church is known for it active involvement in the community hosting regular church service prayer meeting and various religious activity aasha church also serf a a hub for social interaction where visitor can engage in fellowship with others participate in community outreach program and be part of local event the church commitment to nurturing spiritual growth and fostering a sense of community make it a significant landmark in the area visitor to aasha church can experience a combination of religious service social activity and a supportive environment contributing to both their spiritual and communal wellbeing,Bagmati Province,church religious
37,Achakhel,achakhel located at jgjgww6 ghokechaur marg banepa 45210 nepal is a serene locality in the banepa municipality known for it natural beauty achakhel offer a peaceful environment with lush greenery and rolling hill making it a perfect spot for nature walk and photography the area also hold cultural significance with traditional newar architecture and local custom reflecting the rich cultural heritage of the kathmandu valley visitor can explore nearby temple local market and hiking trail that provide scenic view of the surrounding landscape with it accessibility from banepa achakhel is an ideal destination for day trip allowing tourist to immerse themselves in the tranquility of rural nepal while experiencing the charm of it cultural and natural surroundings,Bagmati Province,temple cultural heritage
41,Adi Buddha Handicraft,adi buddha handicraft is a museum and establishment located at patakwogalli lalitpur 44600 nepal it is known for it collection of handcrafted item and artifact visitor can explore a variety of experience related to nepali craftsmanship,Bagmati Province,museumcultural heritage
42,Aesamari Sattal of Taumadhi Square,aesamari sattal located in front of the nyatapola temple in bhaktapurs taumadhi square is a heritage site with significant historical and cultural importance this building wa traditionally used by priest visiting bhaktapur for the biska jatra a major festival in the region it wa also used to house essential element for the festival making it a vital part of the community ’ s annual celebration there are numerous story tied to aesamari sattal one of the most notable being it association with a special puja held during biska jatra this ceremony wa conducted for the salvation of spirit who had met unfortunate death during this time sage would prepare large bread known a roti or mari in the building which eventually led to it name aesamari sattal the building is also renowned for it exceptional wood carving especially the erotic depiction on it strut these carving portray various character and action offering a glimpse into the lifestyle of the era the erotic motif are a unique feature of bhaktapur ’ s architecture and contribute to the city distinct cultural identity visitor can explore these intricate carving and immerse themselves in the rich history and culture of bhaktapur while visiting this heritage site,Bagmati Province,templecultural heritagehistorical site
44,Agnishala Temple,agnishala temple located in patan within the kathmandu valley is a revered religious site with a history spanning over 4000 year this ancient hindu temple hold significant importance for devotee seeking to overcome misfortune caused by unfavorable planetary configuration graha dasha the temple is renowned for it five kundas fire altar each named after prominent deity vishnu kunda brahma kunda shiva kunda surya kunda and savya kunda of these vishnu kunda is particularly notable for having a continuous eternal fire that ha been burning for many year devotee visit the temple to perform hom a religious ritual involving offering in the holy fire of vishnu kunda which is believed to bring happiness and wellbeing the temple is one of the most important shrine in the kathmandu valley especially during the festival of maghe sankranti which mark the welcoming of spring during this time large crowd gather to worship the kundas and the sacred fire additionally buddha jayanti the first day of the month of kartik is considered the anniversary of the temple according to the holy priest hindu devotee from all around the world make pilgrimage to agnishala temple at least once in their lifetime if youre visiting the kathmandu valley this historic and spiritually significant temple is worth a visit,Bagmati Province,hindutemplepilgrimagehistorical site
45,Aijalon Jyoti Church,aijalon jyoti church is a christian place of worship located in simk nepal at coordinate 8865hx4 the church offer a variety of experience for visitor including regular worship service community event and fellowship opportunity these activity provide a welcoming environment for both local and visitor to engage in spiritual growth and community building,Bagmati Province,churchreligiouscultural significance
46,Airport Nagar Children’s Park,airport nagar child ’ s park located in kathmandu 44600 nepal is a popular community playground that provides a variety of experience for visitor it is known for it wellmaintained green space making it a great place for outdoor activity local resident often gather here early in the morning around 500 am to play badminton which add a sense of community and liveliness to the park the park is situated near a milk dairy and just beside the junction after entering from the airport nagar gate it peaceful and clean environment coupled with beautiful surroundings and scenic view make it a great spot for relaxation and recreation the park open space and the greenish ground offer a healthy atmosphere especially for those looking for a break from the busy city life whether for sport socializing or simply enjoying the outdoors the park serf a a central hub for the local community,Bagmati Province,parkrecreational spotnatural beauty
52,Aksheshwar Mahavihar,aksheshwar mahavihar also known a aksheshwor mahavihar is an ancient buddhist monastery situated in pulchowk lalitpur nepal this courtyardstyle monastery is located behind the grasscovered western ashoka stupa one of the four stupa built by emperor ashoka in the 3rd century bce the monastery hold significant historical and cultural value reflecting the rich heritage of newar buddhism in the region it serf a a center for religious activity and community gathering the architecture of aksheshwar mahavihar showcase traditional newar design featuring intricate wood carving and a serene courtyard that offer a peaceful environment for visitor,Bagmati Province,archaeological site monastery
58,Amaare Chautara,amaare chautara located at 3qjqxch in nepal is recognized a a park offering a variety of experience for visitor,Bagmati Province,amusementpark
60,Ambote Church,ambotechurch is a wellknown location located at 36w7j8f 45900 naepaala it is known for being a church it offer a variety of experience for visitor,Bagmati Province,church religious
61,Amrit Art Gallery,amrit art gallery located at jh7m53q mahaenadara raajamaaraga khaairahaanaii 44202 nepal is a wellknown art gallery that offer a variety of artistic experience for visitor the gallery is recognized for showcasing a wide range of artwork including painting sculpture and mixedmedia piece with a focus on both traditional and contemporary nepali art visitor can immerse themselves in nepal rich cultural heritage through the art displayed gaining insight into the country history tradition and artistic expression while specific detail such a opening hour and entry fee are not readily available it is recommended to contact the gallery directly or check it official social medium page for the most uptodate information the gallery is easily accessible via local transportation and visitor can use bus or private vehicle to reach the location exploring the gallery provides an enriching cultural experience and nearby attraction offer additional opportunity to explore the region history and art scene,Bagmati Province,artgallerycultural heritage
63,Anaikot Bhanjyang,anaikot bhanjyang situated in pāchākhāla nepal is a wellknown park offering a variety of experience for visitor located at an elevation of approximately 3771 meter it provides panoramic view of the surrounding landscape feature and attraction scenic view the park offer breathtaking vista of the kathmandu valley and the himalaya making it a popular spot for photography and nature walk hiking trail visitor can enjoy various hiking trail that lead to the anaikot view tower enhancing the overall experience cultural significance the area hold cultural importance with local community often engaging in traditional activity and festival visitor information opening hour specific opening hour are not readily available it is advisable to contact local tourism office or consult official website for the most accurate information entry fee information regarding entry fee is not specified visitor are encouraged to inquire locally or through official channel facility basic amenity are available but visitor are recommended to carry essential such a water and snack how to reach anaikot bhanjyang is accessible via local transportation from kathmandu visitor can use bus or private vehicle to reach the park the journey offer scenic view of the countryside enhancing the travel experience nearby attraction nagarkot known for it sunrise view and panoramic vista nagarkot is a short drive from anaikot bhanjyang and offer additional hiking opportunity buddha peace park located nearby this park provides a serene environment for relaxation and meditation,Bagmati Province,parknatural beautyhiking trail
66,Ancient Nepal Art Gallery,the ancient nepal art gallery situated in kathmandu nepal is a renowned institution dedicated to showcasing the rich artistic heritage of nepal while specific detail about it location and offering are limited the gallery is known for it diverse collection of traditional and contemporary nepali artwork feature and attraction artistic collection the gallery feature a variety of artwork including painting sculpture and craft that reflect nepal cultural and historical narrative cultural experience visitor can immerse themselves in the artistic expression that have shaped nepalese society over the century,Bagmati Province,artgallerycultural heritagemuseum
68,Anikesh Gorkhali Dada,anikesh gorkhali dada is a notable tourist attraction located in dhading besi nepal situated on dhading besi rajmarga 4 nilkantha 45100 this site offer visitor a unique cultural experience,Bagmati Province,tourist attractioncultural significancenatural beauty
69,Animal Shelter Park,animal shelter park located at mf5q6jv jautapani 44200 nepal is a notable zoo offering a variety of experience for visitor situated in the scenic jautapani area the park provides an opportunity to observe and learn about various animal specie in a natural setting feature and attraction diverse wildlife the park is home to a range of animal including native and exotic specie allowing visitor to observe and learn about different animal educational program visitor can engage in educational activity designed to raise awareness about wildlife conservation and the importance of protecting animal habitat scenic environment the park is set in a picturesque location offering a tranquil environment for visitor to enjoy nature and relax visitor information opening hour the park is open daily from 900 am to 500 pm entry fee information regarding entry fee is not specified prospective visitor should inquire locally or through official channel facility basic amenity are available to ensure a comfortable visit,Bagmati Province,zoonatural beautywildlife conservation
71,Annapurna Temple,the heritage site located behind the shiddi laxmi temple commonly referred to a lohan dega is a fascinating and mysterious temple often called the temple of annapurna this temple ha sparked much intrigue due to it unusual structure and the various name associated with it many local and visitor are uncertain of it true identity with some suggesting that it is dedicated to goddess annapurna while others claim that it house a sriyantra a tantric symbol linked to goddess vatsala devi and still others believe it could be a temple for annapurna one striking feature of this temple is it architectural design traditionally the temple is said to have had door on all four side however in it current state these door have been replaced by brick wall leaving only a single door on the southern side the presence of these wall ha contributed to the temple ’ s sense of mystery the structure ’ s history is also significant an inscription found on the pedestal of the sriyantra suggests that the temple date back to n 816 which corresponds to thursday february 20 1996 ad giving it a rich historical and cultural background despite the uncertainty surrounding it exact purpose and name the temple of annapurna remains an important and revered site for local and visitor alike providing a glimpse into nepal rich architectural and spiritual heritage,Bagmati Province,hindutemplehistoricalcultural significance
72,Annapurna Base Camp Trek,the annapurna base camp trek is a renowned hiking destination located at thamel kathmandu 44600 nepal known for it stunning natural beauty the trek offer an incredible opportunity to explore the himalayan region while enjoying a variety of experience the journey take trekker through diverse landscape from subtropical forest and terraced field to alpine meadow and eventually to the base camp itself where panoramic view of the annapurna massif and surrounding peak await the trek to annapurna base camp is one of nepal most popular trekking route due to it relatively moderate difficulty making it accessible to a wide range of trekker along the way visitor pas through traditional gurung and magar village experiencing local culture and hospitality the trek is typically 712 day long depending on the route and pace chosen,Bagmati Province,hikingnatural beautymountains
76,Anush Art Gallery,anush art gallery located in chibal kathmandu 44600 nepal is a prominent art space dedicated to showcasing the work of local artist founded in 1982 by playwright ashesh malla the gallery is an offshoot of the sarwanam theatre group known for it pioneering political street theatre in nepal,Bagmati Province,artgallerycultural heritage
78,Shivapuri Hill,shivapuri hill located approximately 12 kilometer north of kathmandu stand a the secondhighest hill surrounding the kathmandu valley reaching an elevation of 2563 meter key feature scenic view the summit offer panoramic vista of the langtang himalayan range ganesh himal jugal himal and manaslu mountain providing a breathtaking backdrop for hiker biodiversity the area is rich in flora and fauna with over 500 specie of animal and more than 200 specie of bird making it a haven for nature enthusiast cultural significance the trail pass by nagi gompa a buddhist nunnery offering visitor a glimpse into the spiritual life of the region trekking detail starting point the hike typically begin at budhanilkantha a renowned vishnu temple featuring one of the largest reclining statue of vishnu trail highlight the route ascends through lush forest leading to the summit where trekker can enjoy the expansive view duration the trek is suitable for a day hike with an estimated duration of 5 to 6 hour including time for rest and exploration,Bagmati Province,trekkingnatural beautybiodiversity
80,Apple Ground Public Park,apple ground public park narephat located at m992hhw kathmandu 44600 nepal is a popular park and point of interest it offer visitor a space to relax enjoy nature and participate in various outdoor activity the park is wellknown for it open environment making it an attractive spot for both local and tourist with green landscape and ample open space it an ideal place for walking picnicking or simply enjoying the natural surroundings though further detail are sparse it is an excellent spot to unwind and experience the tranquility of kathmandu,Bagmati Province,parkrecreationalnatural beauty
81,ArTree Nepal,artree nepal located at m8v7x58 samarpan marg kathmandu 44600 nepal is a renowned art gallery and establishment offering a variety of experience for visitor known for it impressive collection it serf a a platform to highlight social issue especially the voice of minority and marginalized ethnic community in nepal presented through art visitor can explore magnificent artwork that reflect informed and researched perspective on various social topic the gallery is a mustvisit for art enthusiast providing an excellent environment for discovering thoughtprovoking art the showcased piece are powerful offering a glimpse into the rich cultural and social narrative of nepal whether youre an art lover or someone interested in learning about the social issue impacting the country artree nepal is a perfect place to visit and appreciate the blend of creativity and meaningful expression,Bagmati Province,artgallerycultural significancesocial awareness
82,Aradhana Jyoti Church,aradhana jyoti church located at j7gq9gr dakashainakaalaii 44600 nepal is a wellknown religious site known for being a place of worship the church offer a welcoming atmosphere for visitor and spiritual seeker it provides various experience for those looking to connect with the community engage in religious service and explore the church peaceful surroundings whether for personal reflection attending church service or engaging in the church outreach program aradhana jyoti church serf a a significant place for those in the area,Bagmati Province,churchreligiouscultural significance
83,Araniko Newa And Traditional Arts,araniko newa and traditional art located at patan durbar square near the krishna temple in lalitpur 44600 nepal is a renowned establishment celebrated for it art gallery and cultural offering the gallery showcase a collection of newa and traditional art providing a rich experience for visitor interested in nepalese craftsmanship history and culture the establishment is situated within the historic patan durbar square a unesco world heritage site further enhancing the experience by immersing visitor in the vibrant atmosphere of one of the oldest city in the kathmandu valley visitor can explore exquisite artwork engage with the rich heritage of the newar community and appreciate the intricate tradition that have shaped nepalese art over century whether youre a local or international tourist araniko newa and traditional art offer a unique and educational journey into the artistic and cultural heart of nepal,Bagmati Province,artgallerycultural heritagehistorical site
85,Archis Gallery,archis gallery is a wellknown art gallery located at m27xw7p charaikaota laamabagara sadaka bhaimaeshawara nagarapaalaikaa 45500 nepal this gallery is celebrated for showcasing a variety of artwork including traditional and contemporary piece it offer visitor an opportunity to explore and appreciate the diverse artistic expression of local and national artist the gallery also serf a a cultural hub hosting exhibition and event that foster creativity and artistic dialogue whether youre an art enthusiast or simply curious about the local art scene archis gallery provides a rich experience for all visitor,Bagmati Province,artgallerycultural hub
88,Arts Nepal Gallery,art nepal gallery is a renowned art gallery located in sagarmaatha bazaar paryatan marg kathmandu nepal known for showcasing a wide range of traditional and contemporary nepali art it serf a both an art gallery and a store visitor can explore diverse art piece that represent the rich cultural heritage of nepal including painting sculpture and handcrafted item the gallery offer a unique opportunity for art lover to appreciate the creativity of local artist and purchase artwork for personal collection art nepal gallery is also recognized a a point of interest for those interested in exploring the art scene in kathmandu,Bagmati Province,artgallerycultural heritagetourist attraction
89,Artudio,artudio is a wellknown art gallery and creative space located at p76qjvq chhauni hospital rd kathmandu 44600 nepal this vibrant art hub is recognized for being a center for visual art and a point of interest for art enthusiast artudio offer a variety of experience for visitor including art workshop photography session and painting class it is a space that encourages creativity and interaction making learning an enjoyable experience rather than a formal study the gallery host a large hall with a balcony where various performance and instructional session are held many mentor including renowned artist like kailash shrestha and tshering karma guide participant in exploring their artistic talent artudio offer class for all age group and it is particularly known for it kidfriendly environment fostering creativity and artistic development among young learner artudio is not only a gallery but also a community where artist of all level can gather collaborate and express their creativity whether youre a seasoned artist or someone just starting to explore the world of art artudio provides a welcoming and inspiring space to learn and grow,Bagmati Province,artgallery cultural hub
91,Arun Thapa Statue,the arun thapa statue is a significant monument located at arun thapa chowk in lalitpur nepal this statue honor the legacy of arun thapa a renowned nepali singer and musician celebrated for his contribution to nepali folk music the monument serf a a tribute to his artistic achievement and enduring influence on nepali culture visitor to the statue can explore the vibrant surroundings of lalitpur known for it rich history traditional architecture and bustling local market the area offer a blend of cultural experience including opportunity to engage with local artisan sample traditional cuisine and immerse oneself in the lively atmosphere of the city the statue is situated at arun thapa chowk patan 44700 nepal it is accessible 24 hour a day allowing visitor to pay their respect and reflect on arun thapas legacy at any time,Bagmati Province,monument cultural significance
94,Ashish Church,ashish church sitapakha is a christian place of worship located in mahalaxmi municipality imadol lalitpur nepal the church offer a variety of experience for visitor including regular worship service community gathering and spiritual activity,Bagmati Province,church religious hub
96,Ibahi Thura Stupa,the stupa ibahi thura also known a the northern ashokan stupa located in patan nepal this stupa is one of the four ashokan stupa that demarcate the ancient boundary of patan believed to have been erected by emperor ashoka in the 3rd century bce key feature of ibahi thura perimeter and structure the stupa ha a perimeter of 6062 meter it feature a vedika railing of 15 meter in height and a dome rising to 55 meter atop the dome sits a square harmika crowned with a 13step cakravali and a yasti spire buddha image the vedika house five buddha image with their consort with the exception of tathagata vairocana architectural resemblance the structure bear similarity to the swayambhunath stupa in kathmandu noted for it complexity compared to the other three ashokan stupa in patan historical context emperor ashoka a prominent proponent of buddhism is credited with constructing these stupa during his visit to the kathmandu valley the four stupas—lagan thura south teta thura east pucho thura west and ibahi thura north—serve a historical marker of patans ancient city limit and reflect the rich buddhist heritage of the region visiting ibahi thura situated in the northern part of patan ibahi thura is accessible to visitor interested in exploring nepal ancient buddhist architecture it resemblance to the swayambhunath stupa offer insight into the architectural style prevalent during emperor ashokas era,Bagmati Province,historic site buddhist heritage
97,Ashoka Handicrafts,ashoka handicraft located at nagbahal khachhen 44700 lalitpur nepal is a notable venue recognized for it contribution to the preservation and promotion of nepalese art and culture this site operates a a combination of an art gallery museum store and point of interest offering visitor diverse experience key feature art gallery showcase traditional and contemporary nepalese art piece highlighting the craftsmanship and artistry rooted in the region ’ s heritage museum section provides insight into local culture and history through display of handcrafted item traditional artifact and historical relic handicraft store offer a wide range of locally made product including metal craft wood carving thangka painting jewelry and textile these item are sought after by collector and tourist for their authenticity and craftsmanship cultural experience visitor may have the opportunity to witness artisan at work gaining insight into traditional crafting technique that have been passed down through generation significance cultural preservation the establishment support local artisan and play a role in preserving nepalese traditional art tourist destination due to it blend of cultural heritage and craftsmanship it attracts art lover historian and tourist interested in nepal vibrant tradition location highlight situated in nagbahal a historic area in lalitpur known for it rich cultural heritage and proximity to other significant landmark such a patan durbar square the peaceful setting of nagbahal complement the artistic ambiance of ashoka handicraft making it a serene spot for cultural exploration visitor information opening hour it recommended to check their official website or contact them for uptodate opening hour accessibility easily accessible from central lalitpur and kathmandu by local transport,Bagmati Province,artgallery museum
99,Atelier 2 Fine Art Gallery,atelier 2 fine art gallery located on dallu aawas marg kathmandu is a mustvisit destination for art enthusiast seeking to explore contemporary nepali art during my visit i discovered a truly unique collection of work that beautifully showcase the talent and creativity of local artist the gallery offer a warm and inviting atmosphere making it a delightful space for art exploration the host were exceptionally welcoming creating a homely experience that made my visit even more memorable their hospitality and passion for art made it clear that this gallery is more than just a showcase—its a cultural hub where art and community come together i highly recommend atelier 2 to anyone interested in appreciating authentic and thoughtprovoking nepali art,Bagmati Province,artgallery cultural hub
105,Aviation Museum,the aviation museum in kathmandu located in sinamangal offer a fascinating look into the history of aviation in nepal situated near tribhuvan international airport on the left side of ring road this museum is housed in a retired fokker100 aircraft which add a unique and immersive touch to the experience the museum showcase a variety of aircraft model a well a informative exhibit that highlight the evolution of aviation in nepal particularly focusing on the challenge of flying in the himalayan region visitor can explore the museum wellcurated display which include detailed account of aviation role in connecting nepal remote community there are also interactive exhibit making it a great place for child to learn about aviation while having fun additionally there is a small playground with a swing and slide for kid although the museum offer an educational experience some visitor feel that the number of exhibit and activity could be expanded to make the experience more engaging and enjoyable especially for family the museum ’ s ticket price are quite affordable with r 125 for student and r 250 for adult making it accessible to a wide range of visitor despite it small size the museum provides valuable insight into nepal aviation history and it particularly recommended for aviation enthusiast student and family looking for an interesting and unique experience the museum location near the airport make it easy to combine with other activity in the city however during heavy rain visitor may find it a bit challenging a there is limited sheltered space outside the aircraft overall the aviation museum offer a great introduction to aviation history and is a mustvisit for anyone interested in aircraft and aviation technology it ’ s a wonderful place to spend a few hour particularly for school child family and aviation lover,Bagmati Province,museumtourist attraction
110,Bitar Rasam Park,bitar rasam park located along ramechhap road in ramechhap nepal is a wellknown park offering a variety of experience for visitor the park is open yearround 247 providing ample opportunity for relaxation and recreation feature and attraction natural environmentthe park is known for it serene atmosphere making it an ideal spot for relaxation and leisure activity accessibility situated along ramechhap road the park is easily accessible by road making it convenient for both local and tourist visitor information best time to visitthe park is open yearround allowing visitor to enjoy it offering at any time facility basic amenity are available in the park visitor are encouraged to carry essential such a water and snack activitiesvisitors can enjoy nature walk picnic and other recreational activity within the park,Bagmati Province,parkrecreational spotnatural beauty
111,BK ART Gallery,bk art gallery located on kumaripati mai road in kathmandu nepal is a renowned art gallery and store offering a variety of experience for visitor the gallery showcase a diverse collection of artwork including painting and sculpture primarily focusing on nepali landscape and cultural theme feature and attraction art exhibition the gallery regularly host exhibition featuring the work of bk nar bahadur a distinguished nepali artist known for his mountain and buddhathemed painting these exhibition provide insight into the rich artistic heritage of nepal workshop and event bk art gallery organizes workshop and live painting session offering visitor the opportunity to engage with artist and learn about various painting technique these event are suitable for both art enthusiast and aspiring artist art sale the gallery serf a a store where visitor can purchase original artwork print and other artrelated item making it an excellent place to acquire unique souvenir or enhance personal collection,Bagmati Province,artgallerycultural hubsouvenir shop
114,BP Park Museum,bp park museum located at crp8rm4 dumja 45900 nepal is dedicated to the life and legacy of bishweshwar prasad koirala nepal first elected prime minister situated in dumja the birthplace of bp koirala the museum offer visitor a comprehensive insight into his contribution to nepalese politics and society feature and experience historical exhibit the museum house a collection of artifact photograph and document that chronicle bp koiralas life political journey and his role in nepal democratic movement architectural design designed to reflect the cultural heritage of nepal the museum architecture complement the historical significance of the exhibit educational program the museum offer educational program and guided tour providing indepth knowledge about bp koiralas impact on nepalese history visitor information operating hour the museum is open daily from 1000 am to 500 pm admission fee entry fee are modest with discount available for student and group facility the museum provides amenity such a a gift shop a café and a library for visitor to enjoy getting there by road dumja is accessible via the sindhuli road from kathmandu the museum is located approximately 150 kilometer southeast of kathmandu a journey that take about 45 hour by car public transportation local bus and microbuses operate from kathmandu to sindhuli with dumja being a short walk or drive from the main road nearby attraction bp memorial park adjacent to the museum this park feature a statue of bp koirala and serf a a tranquil spot for reflection local market explore the nearby market to experience the local culture and purchase traditional handicraft visiting bp park museum offer a profound understanding of bp koiralas influence on nepal political landscape and provides a glimpse into the nation rich history,Bagmati Province,museum historical significance
