id,name,description,latitude,longitude,province,location,tags
22,Seventh-day Adventist Church,"The Seventh-day Adventist Church is a global Christian denomination that emphasizes the observance of the Sabbath on Saturday, the seventh day of the week, as a holy day of worship. In Nepal, the Adventist Church has established a presence, contributing to the community through its religious services, educational initiatives, and healthcare programs. Rooted in biblical teachings, the church places a strong focus on health, education, and service, often running schools, clinics, and community outreach programs. 

The Adventist Church in Nepal is part of the broader Adventist mission, which operates in over 200 countries worldwide. It provides a welcoming environment for spiritual growth and fellowship while promoting principles like vegetarianism, healthy living, and preparedness for the second coming of Jesus Christ. Though a minority religion in Nepal, the Seventh-day Adventist Church plays an essential role in uplifting local communities through its faith-driven mission and humanitarian work.",26.9085738,87.9361783,Koshi Province,Ilam,"religious, cultural"
23,A P Mount Framing Gallery,"A P Mount Framing Gallery is a well-known art gallery and framing service provider, often recognized for its specialization in custom framing and the display of artworks. Located in Nepal, it offers professional framing services for paintings, photographs, and various art pieces, providing clients with personalized solutions to showcase and preserve their art. The gallery is known for its wide selection of frames, which cater to different tastes and artistic styles, ensuring that each piece is beautifully complemented. 

In addition to its framing services, A P Mount Framing Gallery might also feature exhibitions of local and international artists, offering a platform for art lovers to view and purchase works. The gallery's contribution to the local art scene is notable, supporting artists while enhancing the appreciation for visual arts in the community. Whether for personal collections or corporate spaces, A P Mount Framing Gallery serves as a place where creativity and craftsmanship come together.",27.5854588,83.0845963,Lumbini Province,Nepalgunj,art_gallery
24,A.G Stuti Church,"A.G Stuti Church is a Christian church located in Nepal, likely associated with the Assemblies of God (A.G.) denomination, which is a global Pentecostal Christian movement. The church emphasizes a vibrant, Spirit-filled worship experience, focusing on the teachings of the Bible, prayer, and the empowerment of believers through the Holy Spirit. In Nepal, A.G Stuti Church plays an active role in serving the community through spiritual guidance, fellowship, and outreach programs. 

""Stuti"" means ""praise"" in Nepali, which aligns with the church’s core values of worship and adoration of God. The church often holds regular services, Bible studies, and community events, fostering a sense of unity and spiritual growth among its congregation. A.G Stuti Church is part of the broader Pentecostal movement in Nepal, contributing to the country’s diverse religious landscape with its message of faith, healing, and hope.",29.8420529,80.5422617,Sudurpashchim Province,Darchula - Tinkar Rd,religious
28,Adventure Art Gallery,"Adventure Art Gallery is an art gallery that likely combines the themes of adventure and exploration with the artistic expression of local and international artists. Located in Nepal, a country renowned for its majestic mountains and diverse landscapes, Adventure Art Gallery may feature artworks that capture the spirit of adventure, nature, and culture. The gallery could showcase a range of art forms, including paintings, photography, sculptures, and other mediums that reflect the beauty and challenges of the natural world, particularly the rugged terrains of the Himalayas, as well as the rich cultural heritage of Nepal. 

In addition to exhibiting art, Adventure Art Gallery may also serve as a space for cultural exchange, workshops, and events, where artists and visitors can engage in discussions on creativity and exploration. The gallery's connection to the theme of adventure may inspire art that pushes boundaries, challenges perspectives, and celebrates the thrill of discovery, both in the physical world and the world of artistic expression.",27.6740859,85.3252345,Bagmati Province,Lalitpur,"art_gallery, museum"
29,Agleswer Mahadev Temple,"Agleswer Mahadev is a Hindu temple in Nepal dedicated to Lord Shiva, also known as Mahadev. The temple is significant in the local community, where people visit to worship and seek blessings. The name ""Agleswer"" is believed to refer to the area where the temple is located, while ""Mahadev"" refers to Lord Shiva, who is a central deity in Hinduism, symbolizing destruction and renewal. The temple is especially active during Hindu festivals like Maha Shivaratri, when many devotees come to offer prayers and rituals. It is a peaceful place where people come for spiritual reflection and connection to their faith.",27.5035517,85.9191561,Bagmati Province,Daurambha,"hindu_temple,pilgrimage"
31,Anugrah Church,"Anugrah Church is a Christian church located in Nepal. The name ""Anugrah"" means ""grace"" in Nepali, reflecting the church's focus on God's grace and compassion. The church is part of the Christian community in Nepal, offering a place for worship, prayer, and fellowship. Anugrah Church likely serves as a spiritual hub for its congregation, providing teachings based on the Bible and promoting values of love, service, and faith. Through its programs and outreach efforts, the church may also be involved in community development and support, helping those in need and fostering a sense of unity and care among its members.",29.245017,80.9383925,Sudurpashchim Province,Dipayal Silgadhi Municipality,"religious,cultural"
34,AS Handicrafts & Art Gallery,"AS Handicrafts & Art Gallery is a place in Nepal that showcases a wide variety of traditional and contemporary Nepali handicrafts and artworks. The gallery offers visitors a chance to explore the rich cultural heritage of Nepal through items such as hand-carved woodwork, pottery, textiles, and intricate paintings. It also features various forms of local art, including paintings and sculptures that reflect Nepal's diverse traditions and natural beauty. The gallery is not only a space for showcasing these works but also serves as a venue for artists to present their creations, contributing to the preservation and promotion of Nepali craftsmanship. Visitors can purchase unique pieces of art and handicrafts, making it a popular spot for both locals and tourists looking to take home a piece of Nepali culture.",27.6713409,85.3201495,Bagmati Province,Lalitpur,"art_gallery,cultural,museum"
35,Auri Bazar,"Auri Bazar is a popular market located in Nepal, known for its vibrant atmosphere and variety of goods. It is often a hub for local commerce, offering a range of products from everyday essentials to traditional Nepali items. The bazaar typically features shops selling clothing, jewelry, household goods, food, and handicrafts, making it a lively spot for both locals and tourists. The market also provides an authentic experience of Nepalese culture, with its bustling streets, colorful stalls, and friendly interactions between vendors and shoppers. Auri Bazar serves as a reflection of Nepal's rich heritage and is a place where visitors can find unique souvenirs, try local foods, and immerse themselves in the local way of life.",28.3533168,81.4329969,Lumbini Province,Bardiya District,"historical,cultural,tourist spot"
37,Aadeshwar Mahadev Temple,"The Ancient Adeshwar Mahadev Temple is a revered religious site located in Ichangu, within the Nagarjun Municipality of Kathmandu District, Nepal. Perched on a hill, the temple is situated a short distance from the main road of Ichangu, offering a peaceful and spiritual atmosphere for visitors. Dedicated to Lord Shiva, also known as Mahadev, the temple is an important pilgrimage site for Hindus, especially for those seeking blessings and spiritual solace. 

The temple’s location on the hill provides a serene environment, surrounded by nature, making it an ideal place for meditation, prayer, and reflection. It holds historical significance, being an ancient temple that has witnessed centuries of religious practices. Local devotees visit the Adeshwar Mahadev Temple regularly, particularly during festivals such as Maha Shivaratri, to offer prayers and perform rituals. The temple's simple yet spiritual setting attracts both locals and tourists who are interested in experiencing Nepal's religious heritage.",27.72270504,85.27093543,Bagmati Province,Nagarjun Municipality,"hindu_temple,pilgrimage,historical beauty"
38,Aadipadma Mahavihar,"Aadipadma Mahavihar is a prominent Buddhist monastery located in Bhaktapur, Nepal. This historic site is significant for its spiritual and cultural heritage, offering a peaceful environment for meditation, prayer, and Buddhist rituals. The term ""Mahavihar"" refers to a large and important monastery, and Aadipadma is one of the many monasteries in the Kathmandu Valley that is revered by both locals and Buddhist pilgrims. 

The monastery is known for its serene surroundings, intricate wood and stone carvings, and traditional Newar architecture, which is characteristic of Bhaktapur's cultural landscape. Visitors to Aadipadma Mahavihar can explore its sacred spaces, learn about the teachings of Buddhism, and witness local practices. It serves as both a place of worship and a center for learning, preserving Nepal's rich Buddhist traditions. The site is especially meaningful to those interested in exploring the spiritual heritage of Bhaktapur, one of Nepal’s ancient cities.",27.6733111,85.4352705,Bagmati Province,Patan Durbar Square Area,"historical,cultural,buddhist monastery"
39,Aahalbhanjyang,"Aahalbhanjyang is a scenic area located 8 kilometers north of the administrative center of Maijogmai, in Maijogmai Rural Municipality-2 of Kavrepalanchok District, Nepal. This picturesque spot has become a major attraction for tourists, especially those interested in observing the endangered red panda. The red panda is protected in the dense forests of Sandakpur and Maijogmai, and Aahalbhanjyang serves as a key location for research and wildlife enthusiasts looking to experience this rare species in its natural habitat. 

Tourists from various countries, traveling via Nepal and India, visit Aahalbhanjyang to see the red pandas, contributing to the growing interest in eco-tourism. In response to this influx of visitors, homestays have been established in the area, offering a unique opportunity for tourists to experience the local culture and hospitality. The introduction of homestays has not only provided a boost to the income of local residents but has also created employment opportunities, improving the livelihoods of the community. With the focus on red panda protection and sustainable tourism, Aahalbhanjyang has become a center for both wildlife conservation and rural development.",26.94246505,88.0356051,Koshi Province,Ilam District,"natural beauty,hills,village life"
41,Aaidungra,"Aaidungra Parashuram is a location in Nepal, specifically in Parashuram Municipality (08), which is situated in the Far Western Region of the country. This area is part of the Bajura District, known for its rural landscapes, traditional lifestyle, and cultural heritage. Parashuram Municipality includes several villages and is recognized for its natural beauty, including hills, rivers, and agricultural fields, making it an attractive area for those interested in rural tourism or nature exploration. 

The community in Aaidungra Parashuram primarily engages in agriculture, with local festivals, customs, and daily activities reflecting the rich cultural traditions of the region. Though less frequented by international tourists, the area holds significance for local residents and people from nearby towns who visit for religious and cultural purposes.",29.0590574,80.2770329,Sudurpashchim Province,Darchula District,"tourist attraction,natural beauty,hiking spot"
42,Aakash Bhairab Mandir,"The Akash Bhairav Temple is a significant religious site in Nepal, believed to have originally been the palace of the Kiranti King Yalambar around 3100 to 3500 years ago. The area surrounding the temple is known as Yen, which symbolizes the Ne of Nepal, where ""Ne"" means ""Midland"" in the Kiranti language. This highlights the deep historical and cultural ties of the site to ancient Nepalese civilizations. 

One of the most remarkable aspects of the Akash Bhairav Temple is the head of Akash Bhairav, which was unearthed several hundred years ago in Kathmandu. This head is taken out once a year during the Yenya Festival, which typically takes place in August or September. During the festival, the head is blessed by the Kumari, the living goddess residing in nearby Basantapur. This annual ceremony draws a large number of worshippers who offer Peda (sweets made from milk), flowers, money, and other items as part of their devotion. 

The Akash Bhairav Temple holds a special place in Nepalese history, with the royal family showing respect for the deity. In the past, the kings of Nepal, including King Gyanendra and King Birendra, have participated in the ceremonial exchange of swords with the Akash Bhairav, offering deep reverence to this historic icon. The temple and its rituals reflect the rich cultural and spiritual heritage of Nepal, drawing both local devotees and visitors alike to witness the ceremonies and pay homage to the ancient deity.",27.67348059,85.3277758,Bagmati Province,Kathmandu Valley,"hindu_temple,pilgrimage,cultural significance"
43,Aale Hadish Masjid,"Aale Hadish Masjid is a mosque located in Banrahwa, Nepal. It is an important place of worship for the local Muslim community, where people gather for daily prayers, religious ceremonies, and community events. The mosque plays a significant role in the spiritual and social life of the area, offering a space for prayer and reflection. 

In addition to being a place for worship, Aale Hadish Masjid is also involved in various community activities, fostering a sense of unity and support among the residents. It is especially active during Islamic festivals such as Eid al-Fitr and Eid al-Adha, when the mosque hosts special prayers and celebrations. 

The architecture of the mosque is likely in line with traditional Islamic designs, featuring elements such as minarets and a prayer hall, which are common in mosques across Nepal. Aale Hadish Masjid stands as an important religious and cultural site in Banrahwa, contributing to the rich diversity of Nepal's religious landscape.",27.3837596,83.3160761,Lumbini Province,Kapilvastu District,"muslim,religious,mosque,cultural site"
46,Aane Kuwa,"Aane Kuwa is a well-known water source located along the Khandbari Bahrabise Road in the Dhaupau area, with a postal code of 56900 in Nepal. The term ""Aane Kuwa"" typically refers to a traditional well or water source that is important for local communities, especially in rural areas. These types of wells are vital for providing fresh water to households and are often a central part of daily life in many Nepali villages. 

While specific details about this particular location may not be widely available, it is likely that Aane Kuwa serves as a local water supply for people living in the Dhaupau area and surrounding regions. The well might be part of the community's infrastructure, serving the needs of residents for drinking, irrigation, and other essential water-related tasks. 

Given its location along the Khandbari Bahrabise Road, Aane Kuwa could also be a notable spot for travelers passing through the region, offering a glimpse of local life and the importance of water sources in rural Nepalese communities.",27.4106381,87.2777064,Koshi Province,Khandbari Bahrabise Rd,amusement_park
47,Ankawa Dam,"Ankawa Dam is a notable location in Nepal, though specific details about it may not be widely available in mainstream sources. Generally, dams like Ankawa Dam play important roles in water management, agriculture, and local infrastructure. Dams in Nepal are often used for purposes such as irrigation, flood control, and providing a water source for communities. 

If Ankawa Dam is located in a rural or remote area, it could be significant for the local population in providing water for irrigation and other uses. Additionally, such sites often attract visitors who are interested in exploring Nepal's natural landscapes and understanding the country's water management systems. 

For more precise and detailed information, especially if you are referring to a specific Ankawa Dam, it might be best to check with local sources or government records regarding water projects in the region.",27.1501747,84.7744728,Madhesh Province,Sugauli Area,"dam, natural beauty, trekking"
48,Aapchour Picnic Spot,"Aapchour Picnic Spot is a scenic destination located in Rajahara, with the postal code 33000, in Nepal. This picnic spot is known for its natural beauty and peaceful environment, making it an ideal place for family outings, gatherings, and relaxation. The site is typically surrounded by greenery, providing a refreshing escape from the hustle and bustle of city life. 

Visitors to Aapchour Picnic Spot can enjoy activities such as picnicking, hiking, and enjoying the views of the surrounding landscape. The area offers a calm atmosphere for those looking to unwind, with the natural surroundings enhancing the experience. Picnic spots like Aapchour are popular among locals and tourists alike, who come to enjoy the serenity and beauty of Nepal's rural areas. 

Whether for a day trip or a short getaway, Aapchour Picnic Spot serves as a lovely spot for people to connect with nature and enjoy time with friends and family.",27.6907095,84.2347148,Lumbini Province,Rajahara,"picnic, natural beauty"
49,Aaradhana Preritiya Christian Church,"Aaradhana Preritiya Christian Church is a well-known church located in Amaragadhaii, Nepal, with the postal code 10300. This church serves as a significant place of worship for the Christian community in the region. Known for its welcoming atmosphere, it offers a variety of spiritual experiences for visitors, including regular church services, prayer meetings, and religious events. 

The church plays an essential role in the local community, offering a space for worship, fellowship, and religious activities. It also serves as a place where people gather to strengthen their faith and engage in spiritual discussions. In addition to its religious functions, Aaradhana Preritiya Christian Church is a place for people to come together, share experiences, and support one another in their faith journey. 

Aaradhana Preritiya Christian Church is not only a center of worship but also a community hub, providing various activities and events that contribute to the spiritual growth of its members. It stands as a key institution in the area, offering a sense of belonging and spiritual enrichment to all who visit.",29.3002422,80.5877708,Sudurpashchim Province,Amaragadhi,"church, religious"
52,Aarohan Church,"Aarohan Church is a well-known Christian church located at 8GC4+964, Saidadhaicharana, 56100, Nepal. The church is recognized for being a center of worship and spiritual guidance for the local Christian community. Aarohan Church offers a variety of experiences for its visitors, including regular worship services, prayer meetings, and other religious events that cater to both spiritual growth and community engagement. 

The church plays an important role in the local area, providing a space for individuals and families to come together for fellowship, spiritual reflection, and support. Aarohan Church is not only a place of worship but also a hub for community-building activities, outreach programs, and other events that strengthen the bonds within the church family. 

Visitors to Aarohan Church can expect a welcoming environment where they can engage in meaningful worship, connect with others, and explore opportunities for spiritual development. It stands as a vital institution for those seeking to deepen their faith and be part of a supportive Christian community in the region.",27.3211426,86.5056085,Sudurpashchim Province,Saidadhaicharana,"church, religious"
53,Aaru Sisna Bhanjyang,"Aaru Sisna Bhanjyang, located in the Majhakaota area of Nepal (postal code 21500), is a serene hilltop that offers breathtaking panoramic views of the surrounding Sunsari and Morang districts. Situated around 10 kilometers from Dharan, it is a popular destination for outdoor enthusiasts. The area is known for its lush greenery, peaceful environment, and excellent hiking trails, making it an ideal spot for picnics and short treks. Visitors can enjoy activities like hiking, photography, and cultural exploration, immersing themselves in the natural beauty and local traditions of the region. Its tranquil atmosphere and scenic landscapes make Aaru Sisna Bhanjyang a perfect getaway for those looking to escape the hustle and bustle of city life. However, visitors are advised to bring necessary supplies as basic amenities may be limited.",28.8262387,81.922657,Sudurpashchim Province,Majhakaota,"picnic, hiking, natural beauty"
56,Aasha Church,"Aasha Church is located in Majhuwa, Meghe Chautara, Diktel Sadak, and Lafyang, with the postal code 56200, Nepal. This church serves as a place of worship for the local Christian community, offering spiritual guidance and a welcoming environment for those seeking to deepen their faith. The church is known for its active involvement in the community, hosting regular church services, prayer meetings, and various religious activities. 

Aasha Church also serves as a hub for social interaction, where visitors can engage in fellowship with others, participate in community outreach programs, and be part of local events. The church's commitment to nurturing spiritual growth and fostering a sense of community makes it a significant landmark in the area. Visitors to Aasha Church can experience a combination of religious services, social activities, and a supportive environment, contributing to both their spiritual and communal well-being.",27.1981679,86.8071476,Bagmati Province,Meghe Chautara,"church, religious"
59,Aasish Church,"Aasish Church, located in Kumakh RM-5, Salyan, Nepal, is a place of worship and spiritual gathering for the local Christian community. Situated at H5G3+HQV, Kumakh RM-5, Tmilkada 22200, the church serves as a central point for religious services, prayer meetings, and community activities. Visitors to Aasish Church can engage in regular worship services, connect with fellow believers, and participate in various religious and social events. The church plays a vital role in the community by offering support, fellowship, and a space for spiritual growth. Its welcoming atmosphere encourages both locals and visitors to come together, reflect, and strengthen their faith.",28.5764805,82.1544209,Sudurpashchim Province,Tmilkada,"church, religious"
64,Aatitar,"Aatitar, located at 4V23+M87, Payauuthaana, with the postal code 22300, Nepal, is a notable tourist attraction in the region. This location offers visitors a chance to explore the natural beauty and unique cultural aspects of the area. Surrounded by scenic landscapes, Aatitar is ideal for those looking to enjoy outdoor activities such as hiking, sightseeing, and experiencing local customs. 

The area provides a peaceful environment, making it a great spot for relaxation and nature exploration. Visitors can also interact with the local community, gaining insight into their way of life. Whether for a short visit or an extended stay, Aatitar offers a refreshing break for nature lovers, adventure enthusiasts, and those seeking to immerse themselves in the local culture and traditions.",28.1016595,82.8532928,Sudurpashchim Province,Payauuthaana,"tourist attraction, natural beauty"
65,Aauridada Picnic Spot,"

Aauridada Picnic Spot, located at 5J7H+5W, Bainaamarae 33300, Nepal, is a popular destination for both locals and visitors seeking a tranquil environment to relax and enjoy nature. Situated in the Bainaamarae area, this spot offers a serene atmosphere, making it ideal for picnics, family gatherings, and small outings. 

The area is characterized by its lush greenery, gentle slopes, and panoramic views of the surrounding landscapes. Visitors can engage in various activities such as hiking, photography, and exploring the local flora and fauna. The peaceful environment provides an excellent opportunity to unwind and connect with nature. 

For those planning a visit, it's advisable to check local weather conditions and prepare accordingly, as the area can be cooler than the surrounding plains. Additionally, while the spot is accessible, basic amenities may be limited, so bringing necessary supplies is recommended.",28.1629646,83.6297754,Sudurpashchim Province,Bainaamarae,"picnic, natural beauty"
66,Abdul Hamidiya Mosque,"Abdul Hamidiya Mosque, located at 2PX9+79Q, Bhedaihara 44300, Nepal, serves as a significant place of worship for the local Muslim community. The mosque offers a variety of experiences for visitors, including:

Religious Services: Regular prayers and religious gatherings are held, providing a space for spiritual reflection and community worship.

Cultural Engagement: Visitors can observe and participate in cultural practices, gaining insight into Islamic traditions and local customs.

Community Interaction: The mosque acts as a hub for social interaction, where individuals can connect with community members and engage in various activities.",27.0482135,84.7184949,Sudurpashchim Province,Bhedaihara,"mosque, religious"
69,Abhisekh Mudabas Church,"Abhisekh Mudabas Church is a Christian place of worship located in Tulsipur Upamahanagar Palika 14, Dawangpur, Dang, Nepal. The church is known for its active congregation and community engagement.

The church's worship team has been involved in various musical and spiritual activities, contributing to the vibrant church life. For instance, the worship team has performed songs like ""Naya Kam Hudaiixa,"" reflecting the church's dynamic approach to worship.",27.7029954,84.1745002,Sudurpashchim Province,Daewachaulaii,"church, religious"
72,Achakhel,"Achakhel, located at JGJG+WW6, Ghokechaur Marg, Banepa 45210, Nepal, is a serene locality in the Banepa Municipality. Known for its natural beauty, Achakhel offers a peaceful environment with lush greenery and rolling hills, making it a perfect spot for nature walks and photography. The area also holds cultural significance, with traditional Newar architecture and local customs reflecting the rich cultural heritage of the Kathmandu Valley. Visitors can explore nearby temples, local markets, and hiking trails that provide scenic views of the surrounding landscape. With its accessibility from Banepa, Achakhel is an ideal destination for day trips, allowing tourists to immerse themselves in the tranquility of rural Nepal while experiencing the charm of its cultural and natural surroundings.",27.6322896,85.5272634,Bagmati Province,Ghokechaur Marg,"temple, cultural heritage"
75,Achham Jayagadh Kalika,"Achham Jayagadh Kalika is a notable tourist attraction located in the Achham district of Nepal. Situated at coordinates 672F+4QH, 10700, this site is renowned for its cultural and natural significance.

Key Features:

Cultural Significance: The area is home to the Kalika Temple, a revered Hindu shrine dedicated to Goddess Kalika. The temple is a focal point for local religious activities and festivals, attracting devotees and visitors alike. 
WIKIPEDIA

Natural Beauty: The surrounding region offers picturesque landscapes, including rolling hills and verdant forests, making it an ideal spot for nature enthusiasts and photographers.

Accessibility: Achham Jayagadh Kalika is accessible via local roads from the district headquarters, Mangalsen. The journey provides travelers with scenic views of the countryside.",29.2003096,81.2744956,Sudurpashchim Province,"Kalika Temple, Achham District, Nepal","tourist attraction, cultural significance"
77,Adanchuli Humla,"Adanchuli is a rural municipality in the Humla District of Nepal, located in the Karnali Province. The administrative headquarters of Adanchuli is situated in Srinagar. The area is known for its diverse topography, ranging from lowland regions to mountainous terrains, with a climate that varies from subtropical in the lower areas to temperate in the higher elevations. This diverse geography supports a variety of agricultural activities and makes it an ideal destination for nature enthusiasts. 

The population of Adanchuli consists mainly of indigenous communities, including Chhetri, Brahmin, and Dalit groups, who maintain traditional lifestyles centered around agriculture. Cultural practices like the Bhuwa Naach, a traditional dance, and the Putala festival, which celebrates local customs, are an essential part of the community's identity. The district offers visitors a chance to engage with its rich cultural heritage and experience the lifestyle of its people. 

Adanchuli is home to several attractions, including Ramaroshan Lake, a natural lake located about 30 kilometers from the district center. The lake is known for its scenic beauty and is a popular spot for those seeking tranquility in nature. Another notable site is the historical Achham Durbar, a palace that has been under reconstruction for over 150 years and holds significant cultural value for the district. 

The economy of Adanchuli is primarily based on agriculture, with rice, maize, and millet being the staple crops. In recent years, there has been a concerted effort to improve infrastructure and develop tourism as a means to enhance the local economy. The area is accessible by road from major cities like Dhangadhi and Nepalgunj, and there is also a domestic airport in Sanfebagar that facilitates air travel to and from the region.",29.6915932,81.842144,Karnali Province,Kalaika Municipality,"mosque, cultural significance"
80,Adhikari Temple,"

Adhikari Temple is a Hindu place of worship located in Taiilaepaataa, Nepal. Situated at coordinates 2G82+F3C, 21600, the temple serves as a spiritual center for the local community. Visitors to the temple can experience traditional Hindu rituals and immerse themselves in the cultural practices of the region. 

The temple's architecture reflects classic Hindu design, featuring intricately carved wooden structures and stone sculptures that depict various deities and mythological scenes. The serene environment surrounding the temple offers a peaceful retreat for meditation and reflection. 

During major Hindu festivals, the temple becomes a vibrant hub of activity, with devotees participating in prayers, processions, and cultural performances. These events provide visitors with a unique opportunity to witness and engage in the rich traditions of Nepali Hinduism. 

For those interested in exploring the spiritual and cultural heritage of Nepal, Adhikari Temple offers a meaningful and enriching experience.",29.0161829,81.5001847,Lumbini Province,Tailaepataa,"hindu_temple,religious,cultural significance"
81,Adi Buddha Handicraft,"Adi Buddha Handicraft is a museum and establishment located at PatakwoGalli, Lalitpur 44600, Nepal. It is known for its collection of handcrafted items and artifacts. Visitors can explore a variety of experiences related to Nepali craftsmanship.",27.6736156,85.3262615,Bagmati Province,Lalitpur,"museum,cultural heritage"
