id,name,description
26,A.S Aquarium fish and pet shop,"A.S Aquarium fish and pet shop is a well-known location, located at JGJC+643, Bus Park Road, banaepaa 45210, naepaala. It is known for being a  aquarium. It offers a variety of experiences for visitors."
27,A.S. Aquarium Fish & Pet Shop,"A.S. Aquarium Fish & Pet Shop is a well-known location, located at jaorapaataii saunadaraiijala sadaka, gaokaranaeshawara 44602, naepaala. It is known for being a  aquarium. It offers a variety of experiences for visitors."
28,ADVENTURE ART GALLERY,"ADVENTURE ART GALLERY is a well-known location, located at bhainadayao kawa - saauga: laà¤, Lalitpur 44700, Nepal. It is known for being a art_gallery, museum, point_of_interest, store, establishment. It offers a variety of experiences for visitors. ADVENTURE ART GALLERY is a well-known location, located at bhainadayao kawa - saauga: laà¤, Lalitpur 44700, Nepal. It is known for being a art_gallery, museum, point_of_interest, store, establishment. It offers a variety of experiences for visitors. Watched today .it was nice experience.nice painting"
29,AGLESWER MAHDEV,"AGLESWER MAHDEV is a well-known location, located at GW39+CMC, Unnamed Road, daoramabaa 45400, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors."
30,ANUGRAH A.G.F.N. CHURCH MARIPAKHA RUKUMKOT RUKUM EAST,"ANUGRAH A.G.F.N. CHURCH MARIPAKHA RUKUMKOT RUKUM EAST is a well-known location, located at JJ9F+4C3, raukaumakaota 22000, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
31,ANUGRAH CHURCH,"ANUGRAH CHURCH is a well-known location, located at 6WWQ+297, daipaayala sailagadhaii 10800, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
32,AQUA CLOSET,"AQUA CLOSET is a well-known location, located at Nagaun dobato, kaiirataipaura 44618, naepaala. It offers a variety of experiences for visitors. AQUA CLOSET is a well-known location, located at Nagaun dobato, kaiirataipaura 44618, naepaala. It offers a variety of experiences for visitors. AQUA CLOSET is a well-known location, located at Nagaun dobato, kaiirataipaura 44618, naepaala. It offers a variety of experiences for visitors. AQUA CLOSET is a well-known location, located at Nagaun dobato, kaiirataipaura 44618, naepaala. It offers a variety of experiences for visitors. AQUA CLOSET is a well-known location, located at Nagaun dobato, kaiirataipaura 44618, naepaala. It offers a variety of experiences for visitors. AQUA CLOSET is a well-known location, located at Nagaun dobato, kaiirataipaura 44618, naepaala. It offers a variety of experiences for visitors. AQUA CLOSET is a well-known location, located at Nagaun dobato, kaiirataipaura 44618, naepaala. It offers a variety of experiences for visitors. AQUA CLOSET is a well-known location, located at Nagaun dobato, kaiirataipaura 44618, naepaala. It offers a variety of experiences for visitors. It's been almost 8 years now, i've been buying fish from here, and I'm very happy with the increase in fish varieties and fish quality. Also the customer service is excellent. Nice experience Best place....
Reasonable price...
Best quality...
Good environment...

Please visit.. You will not regret .. ðŸ¤©ðŸ¤©ðŸ¤©ðŸ¤© This place do not have much veraities of fish. I bought few goppies and they are so strong that they are still alive on my fish tank.. limited fish food found note:no plants available for fish tank ... Nice shop One and only aquarium shop in Kirtipur... Good place for pet fishes. Varieties of pet fishes Best place for fish, an aquarium and fish supplies."
33,ART DECOR,"ART DECOR is a well-known location, located at M8M9+59F, Lalitpur 44700, Nepal. It is known for being a art_gallery, point_of_interest, establishment. It offers a variety of experiences for visitors."
34,AS Handicrafts & Art Gallery,"AS Handicrafts & Art Gallery is a well-known location, located at Gakyaba Marga, Lalitpur 44700, Nepal. It is known for being a art_gallery, point_of_interest, establishment. It offers a variety of experiences for visitors. AS Handicrafts & Art Gallery is a well-known location, located at Gakyaba Marga, Lalitpur 44700, Nepal. It is known for being a art_gallery, point_of_interest, establishment. It offers a variety of experiences for visitors. Best authentic handicraft seller with unique artistic designs and owner's original craft work. Very good place to shop antiques statues"
35,AURI BAZAR,"AURI BAZAR is a well-known location, located at Barbardiya -08 Auri Bardiya Nepal, 21804, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors."
36,Aadarsha park,"Aadarsha park is a well-known location, located at HQ2R+R64, daaunanae daewaii maaraga, baradaghaata 33007, naepaala. It is known for being a  park. It offers a variety of experiences for visitors."
37,Aadeshwar Mahadev Temple,"Religious Site Ancient Adeshwar Mahadev Temple in Ichangu, Nagarjun Municipality, Kathmandu District. It is located on Hill from the main road of Ichangu. Surrounded by natural greenery, the temple complex has Lichhavi-era inscriptions, Durga temple, Buddha statue, Hanuman statue, Ganesh statue, Paati and Pouwa. The Shivling in the sanctum sanctorum of the temple is very attractive."
38,Aadipadma Mahavihar,"Heritage Site Aadipadma Mahavihar is one of Bhaktapurâ€™s oldest Vihars. Despite the lack of documentation detailing its origins, it is commonly referred to as Bhaktapurâ€™s Jetho Vihar, which means â€œolder one.â€ The vihar was referred to as Tombaha or Tungbaha in Rajbamsawali.
This Mahavihar is the place where both the Panchara (Pancha dan) and Samyak Mahadan begin. During Mohani, a kumari is also set up in front of this Vihar. All of this just demonstrates the locationâ€™s antiquity and historical significance.
Moreover, during Panchadan, all five Dipankar buddhas are welcomed at Aadipadma Mahaihar after gathering at Suryamandhiâ€™s dabali (platform). Only after which, does the panchadan procedure begin.
The Vihar is located in Suryamadhiâ€™s Taulachhen tole. Suryamadhiâ€™s south-western corner has a short alley that leads directly to the vihar."
39,Aahalbhanjyang,"Scenic View Aahalbhanjyang is an area that can be reached after traveling 8 kilometers north from the administrative centre of Maijogmai. Located in Maijogmai Rural Municipality-2, Aahalbhanjyang is a centre of attraction for people from all over the world who come to see and research the endangered red panda.
Tourists from various countries reach Aahalbhanjyang via Nepal and India to see red pandas, which are protected in the dense forests of Sandakpur and Maijogmai Rural Municipality.
With the start of tourism promotion through red panda protection, homestays have been established in the Aahalbhanjyang area. The homestay operation has not only increased the income of local residents but also created employment opportunities in the village."
40,Aahana Aquarium Shop,"Aahana Aquarium Shop is a well-known location, located at mahaalakashamaii, naepaala. It is known for being a  aquarium. It offers a variety of experiences for visitors."
41,Aaidungra,"Aaidungra is a well-known location, located at Parashuram,08, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors."
42,Aakash Bhairab Mandir,"Religious Site The temple of Akash Bhairav is supposed to have been a palace of the king of Nepal, Kiranti King Yalambar around 3100 3500 years back. The surrounding of Akash Bhairav is known as Yen to symbolize Ne of Nepal. Ne means Midland in Kiranti language. The head of the Aakash Bhairav was dug up several hundred years ago in Kathmandu. It is taken out once a year on the occasion of Yenya Festival and blessed by the Kumari, the living goddess who lives in the nearby Basantapur. This ceremony is held in the month of August/September. During the ceremony, large number of worshippers come to visit this temple. They offer Peda (sweets made from milk), flowers, money and several others things. We could have witnessed the late dynasty exchanging the swords with that of Akash Bhairav, most recently by the previous king Gyanendra of Nepal and late King Birendra of Nepal before him. In reality, they had made the offering and shown deep respect towards the historic icon."
43,Aale hadish masjid banrahwa,"Aale hadish masjid banrahwa is a well-known location, located at 98M8+GCG, 32900, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
44,Aamchowk Municipality Office,"Aamchowk Municipality Office is a well-known location, located at 57000, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
45,Aamtola aaà¤mataomlaa,"Aamtola aaà¤mataomlaa is a well-known location, located at FF87+6CF, Bhawane - Rangeli Rd, darabaeshaa 56600, naepaala. It is known for being a  park. It offers a variety of experiences for visitors."
46,Aane kuwa aanae kauwaa,"Aane kuwa aanae kauwaa is a well-known location, located at C76H+734, Khandbari Bahrabise Rd, dhaupau 56900, naepaala. It is known for being a  amusement_park. It offers a variety of experiences for visitors."
47,Aankaawa dame,"Aankaawa dame is a well-known location, located at 5Q2F+3Q, saugaaulaii pataerawaa 44300, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors."
48,Aapchour Picnic Spot,"Aapchour Picnic Spot is a well-known location, located at M6RM+7VP, rajahara 33000, naepaala. It is known for being a  picnic. It offers a variety of experiences for visitors."
49,Aaradhana Preritiya Christian Church,"Aaradhana Preritiya Christian Church is a well-known location, located at amaragadhaii 10300, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
50,Aarati Photo Studio & Art,"Aarati Photo Studio & Art is a well-known location, located at damaka 57217, naepaala. It is known for being a  art_gallery. It offers a variety of experiences for visitors."
51,"Aarati Pustak Pasal , Dhakari Achham","Aarati Pustak Pasal , Dhakari Achham is a well-known location, located at X7X7+9J5, dhakaaraii 10700, naepaala. It is known for being a  art_gallery. It offers a variety of experiences for visitors."
52,Aarohan church,"Aarohan church is a well-known location, located at 8GC4+964, saidadhaicharana 56100, naepaala. It offers a variety of experiences for visitors."
53,Aaru sisna bhanjyang,"Aaru sisna bhanjyang is a well-known location, located at RWGF+F3V, majhakaota 21500, naepaala. It is known for being a  picnic. It offers a variety of experiences for visitors."
54,Aarughat Ticket Counter,"Aarughat Ticket Counter is a well-known location, located at XJVG+QR9, haramtari, gaorakhaa, naepaala. It is known for being a  hike. It offers a variety of experiences for visitors."
55,Aaryan House,"Aaryan House is a well-known location, located at 2PVG+P3W, bhaedaihaaraii 44400, naepaala. It is known for being a  hike. It offers a variety of experiences for visitors."
56,Aasha Church,"Aasha Church is a well-known location, located at Majhuwa, Meghe Chautara, Diktel Sadak 56200, Lafyang 56200, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
57,Aashis Nissi Church Burkha aashaisha naisasaii characha baurakhaa,"Aashis Nissi Church Burkha aashaisha naisasaii characha baurakhaa is a well-known location, located at W5P8+64, chhainataanga 56800, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
58,Aashish thapa,"park, point_of_interest, establishment Aashish Thapa is a location in Baglung, Nepal. Specific information about this place is limited, but it is identified as a point of interest within the area."
59,"Aasish Church,Kumakh RM-5,Salyan","Aasish Church,Kumakh RM-5,Salyan is a well-known location, located at H5G3+HQV Kumakh RM-5, Tmilkada 22200, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
60,Aathbis municipality 9 dailekh,"Aathbis municipality 9 dailekh is a well-known location, located at 2GXM+X8W, saimhaasaaina gaa.wai.sa. 21600, naepaala. It is known for being a  picnic. It offers a variety of experiences for visitors."
61,Aathbiskot Municipality Rukum,"Aathbiskot Municipality Rukum is a well-known location, located at Q9P2+JPM, aathabaisakaota 22000, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
62,Aathbiskot Municipality Rukum West,"Aathbiskot Municipality Rukum West is a well-known location, located at Q9WG+CR8, aathabaisakaota 22000, naepaala. It is known for being a  art_gallery. It offers a variety of experiences for visitors."
63,"Aathrai-6, Chuhandada Tehrathum","Aathrai-6, Chuhandada Tehrathum is a well-known location, located at 6M3H+MG8, chauhaana daaà¤daa 57500, naepaala. It offers a variety of experiences for visitors. Aathrai-6, Chuhandada Tehrathum is a well-known location, located at 6M3H+MG8, chauhaana daaà¤daa 57500, naepaala. It offers a variety of experiences for visitors. Good to come"
64,Aatitar,"Aatitar is a well-known location, located at 4V23+M87, payauuthaana 22300, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors."
65,Aauridada picnic spot,"Aauridada picnic spot is a well-known location, located at 5J7H+5W, bainaamaarae 33300, naepaala. It is known for being a  picnic. It offers a variety of experiences for visitors."
66,Abdul Hamidiya Mosque,"Abdul Hamidiya Mosque is a well-known location, located at 2PX9+79Q, bhaedaihaaraii 44300, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
67,Abdul Rahman Masjid ram rekha Baglung,"Abdul Rahman Masjid ram rekha Baglung is a well-known location, located at 7J83+4CM, baagalaunga 33300, naepaala. It offers a variety of experiences for visitors. Abdul Rahman Masjid ram rekha Baglung is a well-known location, located at 7J83+4CM, baagalaunga 33300, naepaala. It offers a variety of experiences for visitors. Abdul Rahman Masjid ram rekha Baglung is a well-known location, located at 7J83+4CM, baagalaunga 33300, naepaala. It offers a variety of experiences for visitors. Abdul Rahman Masjid ram rekha Baglung is a well-known location, located at 7J83+4CM, baagalaunga 33300, naepaala. It offers a variety of experiences for visitors. 2 floor Masjid with jumma prayer. 5 times regular prayer as well as tarawih prayer in ramadan. Toilets&  bathroom with hot and cold water.parking nearby. Highway nearby. Nice Baglung Ramrekha Mosque ward 1 8t9"
68,Abdul rahman,"Abdul rahman is a well-known location, located at R57R+JHG, jaowahaa 44500, naepaala. It is known for being a  park. It offers a variety of experiences for visitors."
69,Abhisekh Mudabas Church,"Abhisekh Mudabas Church is a well-known location, located at P53F+5QX, daewachaulaii 33000, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
70,Abhishek Methodist Church,"Abhishek Methodist Church is a well-known location, located at 3F87+W9W, daumarae-baesaishahara-chaamae raajamaaraga, paurakaota, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
71,Abhishek bohara,"Abhishek bohara is a well-known location, located at H7JQ+G4, bhaataekhaolaa 10500, naepaala. It is known for being a  park. It offers a variety of experiences for visitors."
72,Achakhel,"Achakhel is a well-known location, located at JGJG+WW6, Ghokechaur Marg, banaepaa 45210, naepaala. It offers a variety of experiences for visitors."
73,Achham,"Achham is a well-known location, located at 482V+CQF, kauikaa 10700, naepaala. It is known for being a  picnic. It offers a variety of experiences for visitors."
74,Achham Nepal binayak,"Achham Nepal binayak is a well-known location, located at 8822+MXP, 10700, naepaala. It offers a variety of experiences for visitors."
75,Achham jayagadh kalika,"Achham jayagadh kalika is a well-known location, located at 672F+4QH, 10700, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors."
76,Actual Adventure Nepal Trekking,"Actual Adventure Nepal Trekking is a well-known location, located at kaeshara mahala, Tridevi Marga, kaathamaadaauà¤ 44600, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors."
77,Adanchuli Humla,"Adanchuli Humla is a well-known location, located at MRRR+JVJ, kaalaikaa 21000, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
78,Adanchuli Rural Manicipalityko samgarahaalaya,"Adanchuli Rural Manicipalityko samgarahaalaya is a well-known location, located at MV66+JHW, sharaiinagara 21000, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors."
79,Adanchuli Rural Municipality,"Adanchuli Rural Municipality is a well-known location, located at MV57+Q2Q, sharaiinagara 21000, naepaala. It is known for being a  picnic. It offers a variety of experiences for visitors."
80,Adhikari temple,"Adhikari temple is a well-known location, located at 2G82+F3C, taiilaepaataa 21600, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors."
81,Adi Buddha Handicraft,"Adi Buddha Handicraft is a well-known location, located at PatakwoGalli, Lalitpur 44600, Nepal. It is known for being a museum, point_of_interest, establishment. It offers a variety of experiences for visitors. Poor customer service....very bad experience"
82,Adventure Equipment,"Adventure Equipment is a well-known location, located at Setumari Road, damaka 57217, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors."
83,"Adventure Gaurishankar - Nepal Trekking, Tour & Expedition Specialist","Adventure Gaurishankar - Nepal Trekking, Tour & Expedition Specialist is a well-known location, located at Maitri Marg, kaathamaadaauà¤ 44602, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors."
84,Adventure Trek and Tour,"Adventure Trek and Tour is a well-known location, located at M99M+JJX, ananatalaingagaeshawara, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors."
85,Adventure Trip Tour and Travels,"Adventure Trip Tour and Travels is a well-known location, located at Vishkarma chowk, janakapaura 45600, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors."
86,Adventure World Hetauda,"Adventure World Hetauda is a well-known location, located at CXVX+2R, haetaaudaa 44100, naepaala. It offers a variety of experiences for visitors."
87,Aesamari Sattal of Taumadhi Square,"Heritage Site Many of you might have heard about the word Aesamari Sattal and some might know which exactly the architecture is. Aesamari Sattal is non-other than that building, which resides right in front of the Nyatapola temple where â€œNew Cafe Nyatapolaâ€ exists.
That building was said to be used by the priest who came to Bhaktapur, especially for the Biska Jatra. Also, the building was said to be the house of the essential elements of the biska jatra festival. 
There are numerous stories related to this particular building. It is said that there used to be a puja each year during Biska jatra in the Taumadhi square. That puja was specially held for the salvation of those spirits who had an unfortunate death. And the sages were said to make the big bread (roti or mari) in this particular place, thus it started to be called Aesamari Sattal.
Moreover, Aesamari Sattal is also unique in the aspect of depicting exceptional woodcarvings. Especially the erotic carvings. In the struts of this building, we can see numerous characters and their actions, beautifully depicting the then lifestyle.
Erotic carving at Nyatapola cafe PC: Praz Santt/Bhaktapur.com
You can check out more carvings like this on the Erotic carvings on the architecture of Bhaktapur."
88,Aftab bhai,"Aftab bhai is a well-known location, located at W9HJ+28F, gamaharaiiyaa, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
89,Agape church,"Agape church is a well-known location, located at baneshwor 44600, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
90,Agnishala,"Religious Site Agnishala temple, a 4000 years old temple located at Patan in Kathmandu valley is famous for its religious importance in the Hindu religion. The temple is visited by the worshippers who want to set their anticipated misfortune arising from unfavorable Graha Dasha (Planetary Configuration). There are five kundas (Fire altars) inside the premises of the temple: Vishnu Kunda, Brahma Kunda, Shiva Kunda, Surya Kunda, and Savya Kunda. It is believed that a fire has been kept burning continuously (Eternal) for many years in the Vishnu kunda. Devotees perform hom (Religious ritual performed for happiness and well-being) in the holy fire of Vishnu kunda. The temple is considered as the most important shrines in Kathmandu Valley. During the festival of   Maghe Sankranti ( A festival to welcome spring), you can find a large number of crowd worshipping the Kundas and the holy fire. Buddha Jayani, the first of Kartik is considered as the anniversary date of the temple according to the holy priest. Hindu devotees from all around the world visit this temple at least once in their lifetime. We would recommend you to visit this religious temple if you are near the Kathmandu valley."
91,Ahl-E Hadith Masjid Barsauli,"Ahl-E Hadith Masjid Barsauli is a well-known location, located at H4PM+XX8, Pakdi to wadari Road, waanagamgaa, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
92,Ahl-E Hadith New Masjid Madhukarpur,"Ahl-E Hadith New Masjid Madhukarpur is a well-known location, located at Madhukar Pur (Bulakdihwa), Indo Nepal Border Trail, madhaurakarapaura 32800, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
93,"Ahle Sunnat Jame Masjid, putali bazar syangja","Ahle Sunnat Jame Masjid, putali bazar syangja is a well-known location, located at 3VXF+F34, pautalaiibajaara 33800, naepaala. It offers a variety of experiences for visitors."
94,Ahmadiyya Muslim Jamaat Nepal,"Ahmadiyya Muslim Jamaat Nepal is a well-known location, located at Babu ram acharya road, sainaamamgala raaeda 9, kaathamaadaauà¤ 44600, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
95,"Aijalon AG Church Darimjyula, Salyan","Aijalon AG Church Darimjyula, Salyan is a well-known location, located at Chhatrshwari- 3 Darimjyula, naepaala. It offers a variety of experiences for visitors. Aijalon AG Church Darimjyula, Salyan is a well-known location, located at Chhatrshwari- 3 Darimjyula, naepaala. It offers a variety of experiences for visitors. Aijalon AG Church Darimjyula, Salyan is a well-known location, located at Chhatrshwari- 3 Darimjyula, naepaala. It offers a variety of experiences for visitors. Aijalon AG Church Darimjyula, Salyan is a well-known location, located at Chhatrshwari- 3 Darimjyula, naepaala. It offers a variety of experiences for visitors. Aijalon AG Church Darimjyula, Salyan is a well-known location, located at Chhatrshwari- 3 Darimjyula, naepaala. It offers a variety of experiences for visitors. Excellent ok"
96,Aijalon Jyoti Church,"Aijalon Jyoti Church is a well-known location, located at 8865+HX4, Simk 22200, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
97,Airawati Rural Municipality,"Airawati Rural Municipality is a well-known location, located at 2W8J+228, baraaulaa 22300, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
98,Airport Nagar Childrenâ€™s Park,"Airport Nagar Childrenâ€™s Park is a well-known location, located at Kathmandu 44600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors. Airport Nagar Childrenâ€™s Park is a well-known location, located at Kathmandu 44600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors. Airport Nagar Childrenâ€™s Park is a well-known location, located at Kathmandu 44600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors. Airport Nagar Childrenâ€™s Park is a well-known location, located at Kathmandu 44600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors. Airport Nagar Childrenâ€™s Park is a well-known location, located at Kathmandu 44600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors. Airport Nagar Childrenâ€™s Park is a well-known location, located at Kathmandu 44600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors. Airport Nagar Childrenâ€™s Park is a well-known location, located at Kathmandu 44600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors. Airport Nagar Childrenâ€™s Park is a well-known location, located at Kathmandu 44600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors. This is a community playground. Everyday even community people gather at 5:00 am and play badminton. Greenish ground here is suitable for a healthy eye. Community playground infront of a milk dairy is just aside of a junction after getting in from Airportnagar Gate. i.e. à¤¯à¤°à¤ªà¤¾à¥‡à¤°à¥à¤Ÿ à¤¨à¤—à¤° à¤ªà¥à¤°à¤µà¥‡à¤¶ à¤¦à¥à¤µà¤¾à¤° Good Clean area, Beautiful surroundings, scenarios These are the two airpots that have been added to the list and the map has been added to the map to see which ones are in the air. In"
99,Ajay house jagarnathpur birgunj_22 paras nepal,"Ajay house jagarnathpur birgunj_22 paras nepal is a well-known location, located at Jagarnathpur,birgunj_22, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors."
100,Ajayameru Dadeldhura,"Ajayameru Dadeldhura is a well-known location, located at 9JH2+X2R, ajayamaerau 10300, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
101,"Ajirkot Rural Municipality, Bhachchek Gorkha","Ajirkot Rural Municipality, Bhachchek Gorkha is a well-known location, located at 5J4X+84G, hamsapaura, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors."
102,Ajirkot Trial,"Ajirkot Trial is a well-known location, located at 4JXQ+XPC, hamsapaura, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors."
103,Ajirkot hill.,"Ajirkot hill. is a well-known location, located at 4JXQ+XPC, Unnamed Road, hamsapaura, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors."
