ID,Name,Description,Province,Tags
27,Aapchour Picnic Spot,aapchour picnic spot is a scenic destination located in rajahara with the postal code 33000 in nepal this picnic spot is known for it natural beauty and peaceful environment making it an ideal place for family outing gathering and relaxation the site is typically surrounded by greenery providing a refreshing escape from the hustle and bustle of city life visitor to aapchour picnic spot can enjoy activity such a picnicking hiking and enjoying the view of the surrounding landscape the area offer a calm atmosphere for those looking to unwind with the natural surroundings enhancing the experience picnic spot like aapchour are popular among local and tourist alike who come to enjoy the serenity and beauty of nepal rural area whether for a day trip or a short getaway aapchour picnic spot serf a a lovely spot for people to connect with nature and enjoy time with friend and family,Lumbini Province,"picnic, natural beauty"
31,Aasha Church,aasha church is located in majhuwa meghe chautara diktel sadak and lafyang with the postal code 56200 nepal this church serf a a place of worship for the local christian community offering spiritual guidance and a welcoming environment for those seeking to deepen their faith the church is known for it active involvement in the community hosting regular church service prayer meeting and various religious activity aasha church also serf a a hub for social interaction where visitor can engage in fellowship with others participate in community outreach program and be part of local event the church commitment to nurturing spiritual growth and fostering a sense of community make it a significant landmark in the area visitor to aasha church can experience a combination of religious service social activity and a supportive environment contributing to both their spiritual and communal wellbeing,Bagmati Province,"church, religious"
33,Aatitar,aatitar located at 4v23m87 payauuthaana with the postal code 22300 nepal is a notable tourist attraction in the region this location offer visitor a chance to explore the natural beauty and unique cultural aspect of the area surrounded by scenic landscape aatitar is ideal for those looking to enjoy outdoor activity such a hiking sightseeing and experiencing local custom the area provides a peaceful environment making it a great spot for relaxation and nature exploration visitor can also interact with the local community gaining insight into their way of life whether for a short visit or an extended stay aatitar offer a refreshing break for nature lover adventure enthusiast and those seeking to immerse themselves in the local culture and tradition,Sudurpashchim Province,"tourist attraction, natural beauty"
34,Aauridada Picnic Spot,aauridada picnic spot located at 5j7h5w bainaamarae 33300 nepal is a popular destination for both local and visitor seeking a tranquil environment to relax and enjoy nature situated in the bainaamarae area this spot offer a serene atmosphere making it ideal for picnic family gathering and small outing the area is characterized by it lush greenery gentle slope and panoramic view of the surrounding landscape visitor can engage in various activity such a hiking photography and exploring the local flora and fauna the peaceful environment provides an excellent opportunity to unwind and connect with nature for those planning a visit it advisable to check local weather condition and prepare accordingly a the area can be cooler than the surrounding plain additionally while the spot is accessible basic amenity may be limited so bringing necessary supply is recommended,Sudurpashchim Province,"picnic, natural beauty"
35,Abdul Hamidiya Mosque,abdul hamidiya mosque located at 2px979q bhedaihara 44300 nepal serf a a significant place of worship for the local muslim community the mosque offer a variety of experience for visitor including religious service regular prayer and religious gathering are held providing a space for spiritual reflection and community worship cultural engagement visitor can observe and participate in cultural practice gaining insight into islamic tradition and local custom community interaction the mosque act a a hub for social interaction where individual can connect with community member and engage in various activity,Sudurpashchim Province,"mosque, religious"
41,Adi Buddha Handicraft,adi buddha handicraft is a museum and establishment located at patakwogalli lalitpur 44600 nepal it is known for it collection of handcrafted item and artifact visitor can explore a variety of experience related to nepali craftsmanship,Bagmati Province,"museum,cultural heritage"
42,Aesamari Sattal of Taumadhi Square,aesamari sattal located in front of the nyatapola temple in bhaktapurs taumadhi square is a heritage site with significant historical and cultural importance this building wa traditionally used by priest visiting bhaktapur for the biska jatra a major festival in the region it wa also used to house essential element for the festival making it a vital part of the community ’ s annual celebration there are numerous story tied to aesamari sattal one of the most notable being it association with a special puja held during biska jatra this ceremony wa conducted for the salvation of spirit who had met unfortunate death during this time sage would prepare large bread known a roti or mari in the building which eventually led to it name aesamari sattal the building is also renowned for it exceptional wood carving especially the erotic depiction on it strut these carving portray various character and action offering a glimpse into the lifestyle of the era the erotic motif are a unique feature of bhaktapur ’ s architecture and contribute to the city distinct cultural identity visitor can explore these intricate carving and immerse themselves in the rich history and culture of bhaktapur while visiting this heritage site,Bagmati Province,"temple,cultural heritage,historical site"
44,Agnishala Temple,agnishala temple located in patan within the kathmandu valley is a revered religious site with a history spanning over 4000 year this ancient hindu temple hold significant importance for devotee seeking to overcome misfortune caused by unfavorable planetary configuration graha dasha the temple is renowned for it five kundas fire altar each named after prominent deity vishnu kunda brahma kunda shiva kunda surya kunda and savya kunda of these vishnu kunda is particularly notable for having a continuous eternal fire that ha been burning for many year devotee visit the temple to perform hom a religious ritual involving offering in the holy fire of vishnu kunda which is believed to bring happiness and wellbeing the temple is one of the most important shrine in the kathmandu valley especially during the festival of maghe sankranti which mark the welcoming of spring during this time large crowd gather to worship the kundas and the sacred fire additionally buddha jayanti the first day of the month of kartik is considered the anniversary of the temple according to the holy priest hindu devotee from all around the world make pilgrimage to agnishala temple at least once in their lifetime if youre visiting the kathmandu valley this historic and spiritually significant temple is worth a visit,Bagmati Province,"hindu_temple,pilgrimage,historical site"
46,Airport Nagar Children’s Park,airport nagar child ’ s park located in kathmandu 44600 nepal is a popular community playground that provides a variety of experience for visitor it is known for it wellmaintained green space making it a great place for outdoor activity local resident often gather here early in the morning around 500 am to play badminton which add a sense of community and liveliness to the park the park is situated near a milk dairy and just beside the junction after entering from the airport nagar gate it peaceful and clean environment coupled with beautiful surroundings and scenic view make it a great spot for relaxation and recreation the park open space and the greenish ground offer a healthy atmosphere especially for those looking for a break from the busy city life whether for sport socializing or simply enjoying the outdoors the park serf a a central hub for the local community,Bagmati Province,"park,recreational spot,natural beauty"
49,Ajirkot Hill,ajirkot hill is a scenic location situated in hamsapaura nepal identified by the coordinate 4jxqxpc this hill is known for it historical and cultural significance a well a the breathtaking natural view it offer the site is a popular destination for visitor interested in trekking nature walk and experiencing the local culture the hill is often associated with ajirkot rural municipality in the gorkha district a region renowned for it lush landscape traditional village and panoramic view of the surrounding himalayan peak ajirkot hill offer a tranquil environment where visitor can enjoy hiking explore local heritage and learn about the traditional lifestyle of the region ’ s indigenous community additionally the hill vantage point provides stunning view of the surrounding countryside and the majestic himalaya making it an excellent spot for photography and outdoor enthusiast it also ha historical importance and ha been a point of interest for both local and international visitor,Gandaki Province,"monument, trekking, natural beauty"
51,Akmal Mahira,akmal mahira located at chxgrrp in gaowainadapaura nepal is recognized a a museum offering a variety of experience for visitor,Madhesh Province,museum
58,Amaare Chautara,amaare chautara located at 3qjqxch in nepal is recognized a a park offering a variety of experience for visitor,Bagmati Province,amusement_park
59,Amaragadhi Park,amaragadhi park located at 7hrxw85 in amargadhi 10300 nepal is a wellknown park offering a variety of experience for visitor situated in the district headquarters of dadeldhura the park is renowned for it natural beauty including pine tree fresh air and scenic view visitor often appreciate the tranquil environment making it an ideal spot for relaxation and leisure activity the park is open yearround providing a consistent destination for both local and tourist it serene atmosphere and natural surroundings make it a popular choice for those seeking a peaceful retreat,Sudurpashchim Province,"park, natural beauty"
61,Amrit Art Gallery,amrit art gallery located at jh7m53q mahaenadara raajamaaraga khaairahaanaii 44202 nepal is a wellknown art gallery that offer a variety of artistic experience for visitor the gallery is recognized for showcasing a wide range of artwork including painting sculpture and mixedmedia piece with a focus on both traditional and contemporary nepali art visitor can immerse themselves in nepal rich cultural heritage through the art displayed gaining insight into the country history tradition and artistic expression while specific detail such a opening hour and entry fee are not readily available it is recommended to contact the gallery directly or check it official social medium page for the most uptodate information the gallery is easily accessible via local transportation and visitor can use bus or private vehicle to reach the location exploring the gallery provides an enriching cultural experience and nearby attraction offer additional opportunity to explore the region history and art scene,Bagmati Province,"art_gallery,cultural heritage"
63,Anaikot Bhanjyang,anaikot bhanjyang situated in pāchākhāla nepal is a wellknown park offering a variety of experience for visitor located at an elevation of approximately 3771 meter it provides panoramic view of the surrounding landscape feature and attraction scenic view the park offer breathtaking vista of the kathmandu valley and the himalaya making it a popular spot for photography and nature walk hiking trail visitor can enjoy various hiking trail that lead to the anaikot view tower enhancing the overall experience cultural significance the area hold cultural importance with local community often engaging in traditional activity and festival visitor information opening hour specific opening hour are not readily available it is advisable to contact local tourism office or consult official website for the most accurate information entry fee information regarding entry fee is not specified visitor are encouraged to inquire locally or through official channel facility basic amenity are available but visitor are recommended to carry essential such a water and snack how to reach anaikot bhanjyang is accessible via local transportation from kathmandu visitor can use bus or private vehicle to reach the park the journey offer scenic view of the countryside enhancing the travel experience nearby attraction nagarkot known for it sunrise view and panoramic vista nagarkot is a short drive from anaikot bhanjyang and offer additional hiking opportunity buddha peace park located nearby this park provides a serene environment for relaxation and meditation,Bagmati Province,"park,natural beauty,hiking trails"
64,Ananta Bhumi,ananta bhumi located in rukum east nepal is a region known for it natural beauty and cultural significance while specific detail about ananta bhumi are limited rukum east itself is renowned for it picturesque landscape including the rukumkot valley which offer stunning view of the surrounding mountain and forest feature and attraction scenic landscape the area is characterized by lush greenery rolling hill and panoramic view of the himalaya making it a haven for nature enthusiast and photographer cultural heritage rukum east is home to diverse ethnic community each with it unique tradition festival and lifestyle providing visitor with rich cultural experience adventure opportunity the region offer various trekking route allowing adventurer to explore remote village interact with local community and experience the untouched beauty of the himalaya visitor information accessibility rukum east is accessible via local transportation from nearby town and city the journey offer scenic view of the countryside enhancing the travel experience best time to visit the ideal time to visit is during the spring march to may and autumn september to november season when the weather is pleasant and the sky are clear accommodation basic lodging facility are available in the region ranging from guesthouse to homestays offering visitor a chance to experience local hospitality,Sudurpashchim Province,"natural beauty,cultural significance,hiking trails"
66,Ancient Nepal Art Gallery,the ancient nepal art gallery situated in kathmandu nepal is a renowned institution dedicated to showcasing the rich artistic heritage of nepal while specific detail about it location and offering are limited the gallery is known for it diverse collection of traditional and contemporary nepali artwork feature and attraction artistic collection the gallery feature a variety of artwork including painting sculpture and craft that reflect nepal cultural and historical narrative cultural experience visitor can immerse themselves in the artistic expression that have shaped nepalese society over the century,Bagmati Province,"art_gallery,cultural heritage,museum"
67,Ancient Purenwa (Bilash Kunj Durbar),ancient purenwa also known a bilash kunj durbar is a historic palace located near gaur the capital of rautahat district in nepal situated on samanpurgaur road in purenwa gaur 44500 this site offer visitor a glimpse into nepal royal heritage feature and attraction historical significance bilash kunj durbar wa once a royal residence reflecting the architectural grandeur of the rana dynasty today it stand a a testament to nepal rich history cultural experience visitor can explore the palace ground which provide insight into the lifestyle and culture of the era,Madhesh Province,"historic site,cultural heritage,palace remnants"
68,Anikesh Gorkhali Dada,anikesh gorkhali dada is a notable tourist attraction located in dhading besi nepal situated on dhading besi rajmarga 4 nilkantha 45100 this site offer visitor a unique cultural experience,Bagmati Province,"tourist attraction,cultural significance,natural beauty"
69,Animal Shelter Park,animal shelter park located at mf5q6jv jautapani 44200 nepal is a notable zoo offering a variety of experience for visitor situated in the scenic jautapani area the park provides an opportunity to observe and learn about various animal specie in a natural setting feature and attraction diverse wildlife the park is home to a range of animal including native and exotic specie allowing visitor to observe and learn about different animal educational program visitor can engage in educational activity designed to raise awareness about wildlife conservation and the importance of protecting animal habitat scenic environment the park is set in a picturesque location offering a tranquil environment for visitor to enjoy nature and relax visitor information opening hour the park is open daily from 900 am to 500 pm entry fee information regarding entry fee is not specified prospective visitor should inquire locally or through official channel facility basic amenity are available to ensure a comfortable visit,Bagmati Province,"zoo,natural beauty,wildlife conservation"
74,Annapurna Skate Park,annapurna skate park located in pokhara 33700 nepal is a popular recreational spot known for it skateboarding facility and vibrant outdoor environment this park is particularly favored by skateboarding enthusiast and young adventurer looking for a space to practice their skill enjoy some outdoor activity and have fun key feature of annapurna skate park include skateboarding facility the park offer a wellmaintained skateboarding area with ramp rail and various obstacle making it a great place for both beginner and experienced skater active community the park attracts a lively community of local skater who often gather to practice share tip and enjoy the atmosphere visitor can watch impressive trick or even join in if they are interested in skateboarding recreational area apart from the skateboarding facility the park provides a pleasant open space where people can relax socialize or enjoy other activity it is a popular destination for local and tourist alike familyfriendly while the skate park is geared towards skateboarder the surrounding area offer a familyfriendly environment with plenty of room for picnic relaxation and outdoor game scenic location situated in the picturesque city of pokhara the skate park provides a beautiful backdrop of the surrounding mountain adding to the overall experience of being outdoors annapurna skate park is an ideal destination for skateboarding enthusiast and anyone looking to enjoy an active and funfilled day in pokhara surrounded by natural beauty,Gandaki Province,"park,recreational,sports"
75,Anugrah Pabitra Church,anugrah pabitra church also known a anaugaraha pawaitara characha is a gospelpreaching church located in gaindakot11 nawalparasi nepal the church is dedicated to serving the local community by providing a welcoming space for spiritual growth fellowship and worship,Lumbini Province,"church,religious,cultural significance"
76,Anush Art Gallery,anush art gallery located in chibal kathmandu 44600 nepal is a prominent art space dedicated to showcasing the work of local artist founded in 1982 by playwright ashesh malla the gallery is an offshoot of the sarwanam theatre group known for it pioneering political street theatre in nepal,Bagmati Province,"art_gallery,cultural heritage"
77,Anutha Mahato Memorial Trust,the anutha mahato memorial trust located at r8q98r6 pachaurakhai 44500 nepal is a monument dedicated to honoring the legacy of anutha mahato while specific detail about the trust history and activity are limited it is recognized a a point of interest in the region visitor to the site can expect to learn about the life and contribution of anutha mahato a well a the cultural and historical significance of the monument the trust offer a variety of experience for visitor including educational tour and cultural insight,Madhesh Province,"monument,historical,cultural significance"
78,Shivapuri Hill,shivapuri hill located approximately 12 kilometer north of kathmandu stand a the secondhighest hill surrounding the kathmandu valley reaching an elevation of 2563 meter key feature scenic view the summit offer panoramic vista of the langtang himalayan range ganesh himal jugal himal and manaslu mountain providing a breathtaking backdrop for hiker biodiversity the area is rich in flora and fauna with over 500 specie of animal and more than 200 specie of bird making it a haven for nature enthusiast cultural significance the trail pass by nagi gompa a buddhist nunnery offering visitor a glimpse into the spiritual life of the region trekking detail starting point the hike typically begin at budhanilkantha a renowned vishnu temple featuring one of the largest reclining statue of vishnu trail highlight the route ascends through lush forest leading to the summit where trekker can enjoy the expansive view duration the trek is suitable for a day hike with an estimated duration of 5 to 6 hour including time for rest and exploration,Bagmati Province,"trekking,natural beauty,biodiversity"
79,Api Base Camp,api base camp situated in the darchula district of nepal is a renowned trekking destination that offer a unique adventure for nature enthusiast and trekker located at an elevation of approximately 4000 meter the base camp provides stunning view of api himal and nampa peak key feature scenic beauty the trek to api base camp take you through lush forest alongside rushing river and up to panoramic view that will leave you in awe of the majestic himalaya biodiversity the area is rich in flora and fauna with over 500 specie of animal and more than 200 specie of bird making it a haven for nature enthusiast cultural significance the trail pass by nagi gompa a buddhist nunnery offering visitor a glimpse into the spiritual life of the region trekking detail starting point the trek typically begin at makarighad in the darchula district trail highlight the route ascends through lush forest leading to the summit where trekker can enjoy the expansive view duration the trek is suitable for a multiday hike with an estimated duration of 15 day including time for rest and exploration preparation tip permit entry into the api nampa conservation area requires a permit which can be obtained at the park entrance best time to visit the ideal season for trekking are during the spring march to may and autumn september to november month offering clear sky and moderate temperature guide while the trail is wellmarked hiring a local guide can enhance the experience by providing insight into the area ecology and culture api base camp offer a rewarding trekking experience combining natural beauty cultural heritage and panoramic view making it a mustvisit destination for outdoor enthusiast in nepal,Sudurpashchim Province,"trekking,natural beauty,mountains"
81,ArTree Nepal,artree nepal located at m8v7x58 samarpan marg kathmandu 44600 nepal is a renowned art gallery and establishment offering a variety of experience for visitor known for it impressive collection it serf a a platform to highlight social issue especially the voice of minority and marginalized ethnic community in nepal presented through art visitor can explore magnificent artwork that reflect informed and researched perspective on various social topic the gallery is a mustvisit for art enthusiast providing an excellent environment for discovering thoughtprovoking art the showcased piece are powerful offering a glimpse into the rich cultural and social narrative of nepal whether youre an art lover or someone interested in learning about the social issue impacting the country artree nepal is a perfect place to visit and appreciate the blend of creativity and meaningful expression,Bagmati Province,"art_gallery,cultural significance,social awareness"
82,Aradhana Jyoti Church,aradhana jyoti church located at j7gq9gr dakashainakaalaii 44600 nepal is a wellknown religious site known for being a place of worship the church offer a welcoming atmosphere for visitor and spiritual seeker it provides various experience for those looking to connect with the community engage in religious service and explore the church peaceful surroundings whether for personal reflection attending church service or engaging in the church outreach program aradhana jyoti church serf a a significant place for those in the area,Bagmati Province,"church,religious,cultural significance"
83,Araniko Newa And Traditional Arts,araniko newa and traditional art located at patan durbar square near the krishna temple in lalitpur 44600 nepal is a renowned establishment celebrated for it art gallery and cultural offering the gallery showcase a collection of newa and traditional art providing a rich experience for visitor interested in nepalese craftsmanship history and culture the establishment is situated within the historic patan durbar square a unesco world heritage site further enhancing the experience by immersing visitor in the vibrant atmosphere of one of the oldest city in the kathmandu valley visitor can explore exquisite artwork engage with the rich heritage of the newar community and appreciate the intricate tradition that have shaped nepalese art over century whether youre a local or international tourist araniko newa and traditional art offer a unique and educational journey into the artistic and cultural heart of nepal,Bagmati Province,"art_gallery,cultural heritage,historical site"
87,Arichour Picnic Spot,arichour picnic spot is a wellknown location situated in dhanachaaura arghakhanchi nepal it is recognized for being a popular picnic destination offering visitor a peaceful and scenic environment to relax and enjoy nature the spot is ideal for family gathering friend or tourist looking to experience the serene landscape and lush greenery of the region visitor can enjoy picnic outdoor activity and breathtaking view of the surrounding hill and valley arichour picnic spot is a great place to connect with nature and have a memorable time in a tranquil setting,Lumbini Province,"picnic,natural beauty,family-friendly spot"
88,Arts Nepal Gallery,art nepal gallery is a renowned art gallery located in sagarmaatha bazaar paryatan marg kathmandu nepal known for showcasing a wide range of traditional and contemporary nepali art it serf a both an art gallery and a store visitor can explore diverse art piece that represent the rich cultural heritage of nepal including painting sculpture and handcrafted item the gallery offer a unique opportunity for art lover to appreciate the creativity of local artist and purchase artwork for personal collection art nepal gallery is also recognized a a point of interest for those interested in exploring the art scene in kathmandu,Bagmati Province,"art_gallery,cultural heritage,tourist attraction"
89,Artudio,artudio is a wellknown art gallery and creative space located at p76qjvq chhauni hospital rd kathmandu 44600 nepal this vibrant art hub is recognized for being a center for visual art and a point of interest for art enthusiast artudio offer a variety of experience for visitor including art workshop photography session and painting class it is a space that encourages creativity and interaction making learning an enjoyable experience rather than a formal study the gallery host a large hall with a balcony where various performance and instructional session are held many mentor including renowned artist like kailash shrestha and tshering karma guide participant in exploring their artistic talent artudio offer class for all age group and it is particularly known for it kidfriendly environment fostering creativity and artistic development among young learner artudio is not only a gallery but also a community where artist of all level can gather collaborate and express their creativity whether youre a seasoned artist or someone just starting to explore the world of art artudio provides a welcoming and inspiring space to learn and grow,Bagmati Province,"art_gallery, cultural hub"
92,Aryal Batikaa,aryal batikaa is a wellknown park located along the gulariya nepalganj highway 7 21900 nepal this park offer a variety of experience for visitor including recreational activity and relaxation in a natural setting it is open yearround 247 allowing visitor to enjoy it amenity at any time,Lumbini Province,"park, recreational spot"
96,Ibahi Thura Stupa,the stupa ibahi thura also known a the northern ashokan stupa located in patan nepal this stupa is one of the four ashokan stupa that demarcate the ancient boundary of patan believed to have been erected by emperor ashoka in the 3rd century bce key feature of ibahi thura perimeter and structure the stupa ha a perimeter of 6062 meter it feature a vedika railing of 15 meter in height and a dome rising to 55 meter atop the dome sits a square harmika crowned with a 13step cakravali and a yasti spire buddha image the vedika house five buddha image with their consort with the exception of tathagata vairocana architectural resemblance the structure bear similarity to the swayambhunath stupa in kathmandu noted for it complexity compared to the other three ashokan stupa in patan historical context emperor ashoka a prominent proponent of buddhism is credited with constructing these stupa during his visit to the kathmandu valley the four stupas—lagan thura south teta thura east pucho thura west and ibahi thura north—serve a historical marker of patans ancient city limit and reflect the rich buddhist heritage of the region visiting ibahi thura situated in the northern part of patan ibahi thura is accessible to visitor interested in exploring nepal ancient buddhist architecture it resemblance to the swayambhunath stupa offer insight into the architectural style prevalent during emperor ashokas era,Bagmati Province,"historic site, buddhist heritage"
