id,name,description,Description_Length
1582,Helambu Great Trail,"A trekking route in the Helambu region, famous for its scenic views, lush forests, and cultural experiences. The trail offers trekkers a chance to explore the region's natural beauty and experience the lifestyle of local Tamang communities.",240
5129,haatataii parajanana tathaa taalaima kaenadara,"haatataii parajanana tathaa taalaima kaenadara is a well-known location, located at Baadreni Road Royal Chitwan NP., bharatapaura 44204, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors.",240
6248,sharaii satayanaaraayana manadaira,"sharaii satayanaaraayana manadaira is a well-known location, located at sharaii sataya naaraayana manadaira, dauhabaii raoda, inarauwaa 56710, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",240
4378,Turmakhad Rural Municipality Achham Nepal,"Turmakhad Rural Municipality Achham Nepal is a well-known location, located at W9W9+24Q tauramaakhaaà¤da gaauà¤paalaikaa, tauramaakhaaà¤da 10700, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors.",240
6140,sauwaasa mauratai udhaoga enada maarawala aarata baagalaunga,"sauwaasa mauratai udhaoga enada maarawala aarata baagalaunga is a well-known location, located at 7HCX+PXX, shreenager tole, baagalaunga 33300, naepaala. It is known for being a  art_gallery. It offers a variety of experiences for visitors.",240
4656,"bai. pai. kaoiraalaa maemaoraiyala palaanaetaraiyama, abajarabhaetaraii ra waijanyaana samgaraalaya","bai. pai. kaoiraalaa maemaoraiyala palaanaetaraiyama, abajarabhaetaraii ra waijanyaana samgaraalaya is a well-known location, located at M7GM+5MC, Kirtipur Rd, kaiirataipaura 44618, naepaala. It offers a variety of experiences for visitors.",240
2879,NepalOCNTravel - Best Homestay in Nepal,"NepalOCNTravel - Best Homestay in Nepal is a well-known location, located at Dhading Distric Neelkhanta-12 dhading bensi dhading Neelkhanta-12, 45100, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors.",240
3593,Sandakphu West Bengal,"Sandakphu West Bengal is a well-known location, located at 4242+5JV, sanadakaphau, Singalila Forest, saimgaalailaa phaà¥‰raesata, West Bengal 734201, bhaarata. It is known for being a  trek. It offers a variety of experiences for visitors.",239
2880,Nepalese Crafts Pvt. Ltd.,"Nepalese Crafts Pvt. Ltd. is a well-known location, located at Patan Industrial Estate, Thulo Chakra, Lalitpur 44700, Nepal. It is known for being a museum, point_of_interest, establishment. It offers a variety of experiences for visitors.",239
6160,shaanataeshawara mahaadaewa parawaesha dawaara ï¸/ Shantitol Entrance Gate,"shaanataeshawara mahaadaewa parawaesha dawaara ï¸/ Shantitol Entrance Gate is a well-known location, located at P8W2+X8H, taarakaeshawara 44600, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors.",239
4808,chaasah ajaimaa daegah (sharaii chanadaeshawaraii manadaira),"chaasah ajaimaa daegah (sharaii chanadaeshawaraii manadaira) is a well-known location, located at JGPJ+8V3, Banepa-RabiOP Rd, banaepaa 45210, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",239
2656,Mitra mandali suntale ilam (church) maitara manadalaii saunatalae ilaama (characha),"Mitra mandali suntale ilam (church) maitara manadalaii saunatalae ilaama (characha) is a well-known location, located at V2R8+8V, sauurayaodaya 11, naepaala. It is known for being a  church. It offers a variety of experiences for visitors.",239
2465,Maitighar Mandala,"A public square or park located in Kathmandu, Nepal, known for its cultural and social importance. Maitighar Mandala is a popular gathering spot for both locals and visitors, often used for events, demonstrations, and community activities.",239
5431,khaaà¤dabaaraii nagarapaalaikaa kaarayaalaya,"khaaà¤dabaaraii nagarapaalaikaa kaarayaalaya is a well-known location, located at 96H5+H9C, Khandbari Bahrabise Rd, khaaà¤dabaaraii 56900, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors.",239
3800, Aaproopi Shiva Mandir,"The Aaproopi Shiva Mandir is a revered Hindu temple situated in Duhabi-10, Charaiya, within the Sunsari District of Koshi Pradesh, Nepal. Dedicated to Lord Shiva, the temple serves as a significant spiritual center for the local community.",239
6105,satataabharanaa mamgalabaarae khaanaepaanaii tayaangakaii baajaokhaeta,"satataabharanaa mamgalabaarae khaanaepaanaii tayaangakaii baajaokhaeta is a well-known location, located at Q32G+47, shaanatainagara 57200, naepaala. It is known for being a  amusement_park. It offers a variety of experiences for visitors.",239
779,Chandra Bahadur Sunuwar Chock chanadara bahaadaura saunauwaara shaalaika chaaeka,"Chandra Bahadur Sunuwar Chock chanadara bahaadaura saunauwaara shaalaika chaaeka is a well-known location, located at F65G+78, dauraagaauà¤ 45400, naepaala. It is known for being a  museum. It offers a variety of experiences for visitors.",239
5413,kaà¥ƒshana paranaamaii manadaira taikaaulaii,"kaà¥ƒshana paranaamaii manadaira taikaaulaii is a well-known location, located at JFJV+FC5, mahaenadara raajamaaraga, rataâ€nanagara 44204, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",238
2900,Netra Guragain statue,"Netra Guragain statue is a well-known location, located at 4GJM+3F5 mayaangalaunga basa baisaaunaii, Limbuwan Highway, mayaangagalaungaga 57500, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors.",238
2447,Mahima AG Church Kailari-2 Kailai,"A Christian church located in Kailari-2 Kailai, Nepal. The church serves as a place of worship and spiritual guidance for the local Christian community. It offers services, Bible study programs, and social outreach activities for members.",238
1578,Heaven Water Park,"A recreational water park offering various water-based attractions like slides, pools, and leisure facilities. Heaven Water Park is a popular destination for families, groups, and tourists seeking fun and relaxation during the hot months.",238
5894,phaulachaokaii bhawaanaii naaudhaaraa manadaira,"phaulachaokaii bhawaanaii naaudhaaraa manadaira is a well-known location, located at H9QH+7RM, Godawari - Phulchoki Rd, gaodaawaraii 44709, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors.",238
2801,Narpa Bhumi Rural Municipality naarapaa bhauumai gaauà¤paalaikaakao kaarayaalaya,"Narpa Bhumi Rural Municipality naarapaa bhauumai gaauà¤paalaikaakao kaarayaalaya is a well-known location, located at M7X4+F8, nara 33500, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors.",238
4546,achhaama darabaara ( mangalasaena darabaara ) aaramaii bayaaraeka,"achhaama darabaara ( mangalasaena darabaara ) aaramaii bayaaraeka is a well-known location, located at 47R4+VH4, mangagalasaena 10700, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors.",238
1541,Happy Fins,"A business or service related to fish, possibly an aquarium, fish farm, or a pet store selling aquatic life. Happy Fins might offer fish, aquariums, and accessories, catering to both hobbyists and those interested in keeping aquatic life.",238
4715,barakaataii masajaida Ø¬Ø§Ù…Ø¹ Ù…Ø³Ø¬Ø¯ Ø¬Ù†Ú©Ù¾ÙˆØ±,"barakaataii masajaida Ø¬Ø§Ù…Ø¹ Ù…Ø³Ø¬Ø¯ Ø¬Ù†Ú©Ù¾ÙˆØ± is a well-known location, located at PWHG+X28, jaanakaii mamdaira maaraga, janakapaura 45600, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors.",238
1562,Haruwaikhali,"A village or region known for its natural surroundings, local agricultural practices, and traditional way of life. Haruwaikhali offers a peaceful environment and may be an ideal location for eco-tourism, trekking, or cultural exploration.",238
5020,dhawaakhaa: paukhau ð‘‘‹ ð‘¢ð‘‘‚ð‘°ð‘µð‘ð‘µð‘‘… ð‘¥ð‘¸ð‘ð‘¹,"dhawaakhaa: paukhau ð‘‘‹ ð‘¢ð‘‘‚ð‘°ð‘µð‘ð‘µð‘‘… ð‘¥ð‘¸ð‘ð‘¹ is a well-known location, located at Kobaha Pukhu, 45210, banaepaa, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors.",237
1604,Himalayan Companion Treks and Expedition,"A trekking company that organizes expeditions in the Himalayan region, offering guided tours, treks, and mountaineering experiences. The company provides opportunities for adventure seekers to explore the rugged terrain of the Himalayas.",237
4228,"The Church of the Living God, Gauriganga-1, Mangalpur, Kailali, Far-West, Nepal","The Church of the Living God, Gauriganga-1, Mangalpur, Kailali, Far-West, Nepal is a well-known location, located at QQ42+4V3, chaaumaalaa 10900, naepaala. It is known for being a  church. It offers a variety of experiences for visitors.",237
1083,Dharchula camping and trekking store,"Dharchula camping and trekking store is a well-known location, located at near, imdaiyaa - naepaala maaraga, dhaarachauulaa, utataraakhamda 262545, bhaarata. It is known for being a  trek. It offers a variety of experiences for visitors.",237
4694,"baogataana phaudasaila gaauà¤paalaikaa kaarayaalaya, chawaaraachaautaaraa","baogataana phaudasaila gaauà¤paalaikaa kaarayaalaya, chawaaraachaautaaraa is a well-known location, located at 32FX+9JQ, mangagalasaena 10800, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors.",237
1594,Hilihang Durbar Square Limbuwan,"A historic square in the Limbuwan region, possibly featuring a durbar (palace) complex or gathering space. It may host significant cultural or ceremonial events and provide a glimpse into the architectural and social history of the area.",237
4466,"Way to Rampur,Palpa","Way to Rampur,Palpa is a well-known location, located at VJRR+2WV, paipaladaaà¤daa - raamapaura raajamaaraga, paipala daamdaa 32500, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors.",237
4602,baalabaalaikaakao manaoranyajana paaraka,"baalabaalaikaakao manaoranyajana paaraka is a well-known location, located at P829+CVJ, paradarashanaii maaraga, kaathamaadaauà¤ 44600, naepaala. It is known for being a  amusement_park. It offers a variety of experiences for visitors.",236
1850,Jhuleni Natural View Tower (jhaulaenaii paraakaà¥ƒtaika bhayauu taawara),"Jhuleni Natural View Tower (jhaulaenaii paraakaà¥ƒtaika bhayauu taawara) is a well-known location, located at 5V73+28C, jaumaà¥ƒkaaà¤daa 22300, naepaala. It is known for being a  museum. It offers a variety of experiences for visitors.",236
1843,Jhilmiliya Mai Mandir.(jhailamailayaa maaii manadaira),"Jhilmiliya Mai Mandir.(jhailamailayaa maaii manadaira) is a well-known location, located at RHX8+WW8, Indo Nepal Border Trail, malamgawaa, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",236
3140,Pathibhara Art Galler,"Pathibhara Art Gallery, located in Kathmandu, Nepal, specializes in Tibetan authentic traditional thangkas. These intricate artworks are created by highly skilled artists and serve as both spiritual expressions and sources of blessings.",236
3589,Samrakshanbid Smarak Salik Park (Conservationist Memorial Statue Park),"Samrakshanbid Smarak Salik Park (Conservationist Memorial Statue Park) is a well-known location, located at P69H+6GW, chanadaraagairaii 44600, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors.",236
5957,ramaesha waikala samaà¥ƒtai saahaitaya parataishathaana,"ramaesha waikala samaà¥ƒtai saahaitaya parataishathaana is a well-known location, located at P9JG+QMR, Sahid Park Rd, gaokaranaeshawara 44600, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors.",236
6008,saelaphaii raoda patharaii,"saelaphaii raoda patharaii is a well-known location, located at MH5Q+H2J, Mangalbare - Aitabare Rd, patharaii shanaishacharae 56600, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors.",236
4106,Switzerland Park,"Scenic View Switzerland Park is a park made by National Environment Conservation Programme Nepal ran by Chairman. Puspa Raj Panday under.

In this place we can visit as picnic spot, entertaining and many more fun activities in this site",236
5363,"kaoilaa khaanaii, saaghauraiigadhaii dhanakautaa (Coal Mine Saghurigadhi, Dhankuta)","kaoilaa khaanaii, saaghauraiigadhaii dhanakautaa (Coal Mine Saghurigadhi, Dhankuta) is a well-known location, located at V6V4+5RW, aahaalae 56800, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors.",236
3205,Pokharathok paokharaathaoka maadaii paalapaa,"Pokharathok paokharaathaoka maadaii paalapaa is a well-known location, located at VJ22+G4G, Unnamed Road, baudhaa paokharaathaoka 32500, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors.",235
3186,Pikey Peak,"Pikey Peak, situated in the Solu Khumbu region of Nepal, stands at an elevation of 4,065 meters (13,335 feet). This trek offers trekkers panoramic views of the Himalayan range, including Mount Everest, Lhotse, Makalu, and Kanchenjunga.",235
1868,Jogendra Memorial Medical Hospital(P.H.Creek),"Jogendra Memorial Medical Hospital(P.H.Creek) is a well-known location, located at Bus Station, Umgaon, Naharniya Road, Kasera, Bihar 847225, bhaarata. It is known for being a  monument. It offers a variety of experiences for visitors.",235
1075,Dharahara Park dharaharaa bagaaichaa,"Dharahara Park dharaharaa bagaaichaa is a well-known location, located at P827+55C, Shundara marg, Kathmandu 44600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors.",235
4392,"Ugreshwor Mahadev Temple, mandan Deupur 11","Ugreshwor Mahadev Temple, mandan Deupur 11 is a well-known location, located at MJHG+QVC, maelamachaii haelamabau sadaka, jaaisaiithaoka, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",235
5093,gaulamaii satayawataii gaeshata haausa,"gaulamaii satayawataii gaeshata haausa is a well-known location, located at maitaranagara -à¥¨à¥¯, sharaii bhaà¥ƒkautaii maaraga, 44600, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors.",235
5505,laumabainaii baikaasha kaosha,"laumabainaii baikaasha kaosha is a well-known location, located at laumabainaii baikaasha kaosha, laumabainaii saaà¤sakaà¥ƒtaika 32900, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors.",235
5572,"mahaalakashamaii nagarapaalaikaa waada nam à¥§, dhanakautaa","mahaalakashamaii nagarapaalaikaa waada nam à¥§, dhanakautaa is a well-known location, located at 49JF+P53, Mahalaxmi municipality 56800, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors.",235
3255,Pumdikot Shiva Statue,"The Pumdikot Shiva Statue, located approximately 16 kilometers north of Pokhara, Nepal, is a prominent landmark that attracts both pilgrims and tourists. Standing at 51 feet tall, this statue is one of the largest of its kind in Nepal.",235
6412,utataragayaa baetaraawataii,"utataragayaa baetaraawataii is a well-known location, located at X5FM+3WJ, paasaanga lahaamau raajamaaraga, baetaraawataii bajaara 44900, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",235
2712,"Musikot Khalanga Multiple Campus, West Rukum","Musikot Khalanga Multiple Campus, West Rukum is a well-known location, located at JFH3+96X, District Police Office Rd, mausaiikaota 22000, naepaala. It is known for being a  art_gallery. It offers a variety of experiences for visitors.",235
5959,"ramjaita aarata, sainadhaulaii","ramjaita aarata, sainadhaulaii is a well-known location, located at 6W46+XFJ m-Tech Computer Education, B.P. Highway, kamalaamaaii 45900, naepaala. It is known for being a  art_gallery. It offers a variety of experiences for visitors.",234
5141,haimaalaya kao kalaa wairaasata,"haimaalaya kao kalaa wairaasata is a well-known location, located at RP36+H5W, Lukla - Everest Base Camp Trekking Route, naamachae 56000, naepaala. It is known for being a  art_gallery. It offers a variety of experiences for visitors.",234
6454,yakashaeshawara mahaadaewa manadaira (pashaupatainaatha bhakatapaura),"yakashaeshawara mahaadaewa manadaira (pashaupatainaatha bhakatapaura) is a well-known location, located at MCCH+P98, bhakatapaura 44800, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",234
4915,"dadae khaolaa, sawaragadawaaraii nagarapaalaikaa, saaraii, payauthaana","dadae khaolaa, sawaragadawaaraii nagarapaalaikaa, saaraii, payauthaana is a well-known location, located at 5PH2+WHX, sarai 22300, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors.",234
2649,Mithila Bihari Municipality,"Mithila Bihari Municipality is a well-known location, located at QXMR+J7Q, Janakpur to Dhanusha Dham Road, taaraapatataii sairasaiyaa 45600, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors.",234
5510,maachhaa paalana kaenadara,"maachhaa paalana kaenadara is a well-known location, located at maachhaa paalana kaenadara, majauwaa saralaahaii maaraga, saaà¤khara 33800, naepaala. It is known for being a  aquarium. It offers a variety of experiences for visitors.",234
4766,bhaimasaenasathaana manadaira,"bhaimasaenasathaana manadaira is a well-known location, located at daumarae-baesaishahara-chaamae raajamaaraga 08, waesaiishahara 33600, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",234
5569,mahaalakashamaii manadaira,"mahaalakashamaii manadaira is a well-known location, located at sharaii mahaalakashamaii manadaira, Mahalaxmi Marga, bhakatapaura 44800, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",234
5805,pamchakaoshaii haotala enada laja,"pamchakaoshaii haotala enada laja is a well-known location, located at VH3J+3JP bajaara, talalao daungagaeshawara, daulalau 21608, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors.",234
4268,Thulaghar danda park thaulaagharadaaà¤daa paaraka,"Thulaghar danda park thaulaagharadaaà¤daa paaraka is a well-known location, located at 83VC+JWW, Ramechhap 45400, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors.",234
6343,taraekainga gaaida taolaii saahasaika paraa laimaitaeda,"taraekainga gaaida taolaii saahasaika paraa laimaitaeda is a well-known location, located at narasaimha chaoka maaraga, kaathamaadaauà¤ 44600, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors.",233
5487,laikhau paikae gaauà¤paalaikaa gaauà¤kaarayapaalaikaakao kaarayaalaya,"laikhau paikae gaauà¤paalaikaa gaauà¤kaarayapaalaikaakao kaarayaalaya is a well-known location, located at H94H+PHQ, chaaulaakharaka 45400, naepaala. It is known for being a  church. It offers a variety of experiences for visitors.",233
4061,Sunkoshi 6 Khalte saunakaoshaii 6 khaalatae,"Sunkoshi 6 Khalte saunakaoshaii 6 khaalatae is a well-known location, located at 9X5G+C5C, bai pai raajamaaraga, saitalapaataii 45900, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors.",233
4264,Thorang La Pass,"Thorang La Pass is a well-known location, located at QWVQ+CFQ, Thorong Phedi - Thorong La Rd, Tanki Manang 33500, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors.",233
6100,sarasawataii manadaira kaunaakharaka,"sarasawataii manadaira kaunaakharaka is a well-known location, located at 34CW+3F7, Dhurkot Nayagaun, Nepal kunakharka, paipaladhaaraa, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",233
5840,parakaashaeshawara shaiwaalaya mainadaira,"parakaashaeshawara shaiwaalaya mainadaira is a well-known location, located at JHV4+F22, Pathari Road, patharaii shanaishacharae 56600, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",233
6250,sharaii sawaragadawaaraii mahaaparabhau janamasathala rauunataii raaelapaa,"sharaii sawaragadawaaraii mahaaparabhau janamasathala rauunataii raaelapaa is a well-known location, located at 7G2P+GQ4, sakhai 22100, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",233
2442,Mahendra Statue Park,"A park dedicated to the statue of Mahendra, a former king of Nepal. The park serves as a historical site, offering visitors a chance to reflect on the country’s past monarchy and enjoy a peaceful environment with gardens and statues.",233
1816,Jayanti Falls Dantola Talkot jayanataii jharanaa daataolaa talakaota,"Jayanti Falls Dantola Talkot jayanataii jharanaa daataolaa talakaota is a well-known location, located at J85X+6RP, danataolaa 10500, naepaala. It is known for being a  amusement_park. It offers a variety of experiences for visitors.",233
1833,Jhanakhya Metro Park jhanaakhayah maetarao paaraka,"Jhanakhya Metro Park jhanaakhayah maetarao paaraka is a well-known location, located at M8G8+JJC, Lalitpur 44600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors.",233
4638,"baelaauraii nagarapaalaikaa kaarayaalaya, kanyachanapaura","baelaauraii nagarapaalaikaa kaarayaalaya, kanyachanapaura is a well-known location, located at baelaauraii paaraka, baelaauraii 10400, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors.",233
6148,sawasatha taajaa mauulakao paanaii,"sawasatha taajaa mauulakao paanaii is a well-known location, located at 6JRV+RRJ Nayapul Bus Stop, Baglung Rajmarg, kaushamaa 33400, naepaala. It is known for being a  amusement_park. It offers a variety of experiences for visitors.",232
5324,kaathamaadaaum anatararaashataraiya samgatai,"kaathamaadaaum anatararaashataraiya samgatai is a well-known location, located at Agricultural Development Bank LTD, kaathamaadaauà¤ 44600, naepaala. It is known for being a  church. It offers a variety of experiences for visitors.",232
2432,Mahankalchaur,"A picturesque area located in Nepal, known for its natural beauty and peaceful environment. Mahankalchaur is often visited by trekkers and nature enthusiasts who enjoy exploring its serene landscapes and enjoying outdoor activities.",232
1544,Haraincha Chowk,"A busy intersection or central hub in the Haraincha area, often associated with market activities and local commerce. Haraincha Chowk is a key spot for locals to gather, shop, and interact, making it a focal point for the community.",232
3985,Sonama Jama Masjid (Sonama-03) saonamaa jaamaa masajaida ( saonamaa à¥¦à¥© ).,"Sonama Jama Masjid (Sonama-03) saonamaa jaamaa masajaida ( saonamaa à¥¦à¥© ). is a well-known location, located at VP4R+VH2, saonamaa 45700, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors.",232
1600,Himalaya Spiritual and Adventure Treks,"A trekking agency offering spiritual and adventure treks in the Himalayas. Their services might combine spiritual experiences with adventure activities like trekking, mountaineering, and cultural exploration in the Himalayan region.",232
3812,RadhaKrishna Temple,"The Radha Krishna Temple is a significant Hindu shrine dedicated to Lord Krishna and his consort Radha. In Kathmandu, Nepal, there are notable temples honoring Radha and Krishna, each with its unique history and architectural style.",232
4792,bhaà¥ƒkautaii phana paaraka Bhrikuti Fun Park,"bhaà¥ƒkautaii phana paaraka Bhrikuti Fun Park is a well-known location, located at P829+RV9, Red Cross Marg, kaathamaadaauà¤ 44600, naepaala. It is known for being a  amusement_park. It offers a variety of experiences for visitors.",232
4555,"amabaikaeshawaraii manadaira, daanga","amabaikaeshawaraii manadaira, daanga is a well-known location, located at amabaikaeshawaraii manadaira, Ambapur Rd, ghaoraahaii 22400, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",232
5088,"garaesa characha,sharaiinagara haumalaa, Grace Church Adanchuli Rural Municipality Humla","garaesa characha,sharaiinagara haumalaa, Grace Church Adanchuli Rural Municipality Humla is a well-known location, located at MV67+Q57 garaesa characha, sharaiinagara 21000, naepaala. It offers a variety of experiences for visitors.",232
5451,khaulaala kaarakaii bamsha kaulapaujaa manadaira daewaalaii chaaura,"khaulaala kaarakaii bamsha kaulapaujaa manadaira daewaalaii chaaura is a well-known location, located at CJF4+78, daudhakaunada 56000, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",232
6173,"shahaida lakhana gaauà¤paalaikaa, gaauà¤ kaarayapaalaikaakao kaarayaalaya","shahaida lakhana gaauà¤paalaikaa, gaauà¤ kaarayapaalaikaakao kaarayaalaya is a well-known location, located at WMF7+HMF, ghaairaunga, naepaala. It is known for being a  art_gallery. It offers a variety of experiences for visitors.",232
6413,"utataragayaa gaauà¤paalaikaa, gaauà¤ kaarayapaalaikaakao kaarayaalaya","utataragayaa gaauà¤paalaikaa, gaauà¤ kaarayapaalaikaakao kaarayaalaya is a well-known location, located at X5RM+Q4W, laharaepaauwaa 45000, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors.",232
1061,Dhanush Sagar,"Natural Landmark This pond lies in front of Ram Mandir. It is said that the bow which Lord Shiva had given to King Janak during the Treta Yug was kept at this place for safekeeping, and the pond was built in the shape of the weapon.",232
2440,Mahendra Raj Marg,"A major highway in Nepal connecting various cities and regions, including important cultural and historical sites. Mahendra Raj Marg is known for its strategic importance, connecting travelers to key destinations across the country.",232
2852,Nepal Environmental Treks and Expedition Pvt. Ltd.,"Nepal Environmental Treks and Expedition Pvt. Ltd. is a well-known location, located at P877+J2R, taraidaewaii sadaka, kaathamaadaauà¤ 44600, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors.",232
394,Banskhola picnic spot,"Banskhola is a popular picnic spot located near the Bansato Mai Mandir. The area is characterized by its natural beauty, including lush greenery and tranquil surroundings, making it an ideal location for family outings and picnics.",231
6227,sharaii kauchaepaanaii kaota manadaira,"sharaii kauchaepaanaii kaota manadaira is a well-known location, located at 5FQV+7VJ, Gajadaha-Baghkate Rd, daudhailaabhaataii 33300, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",231
5544,madana bhanadaaraii samaà¥ƒtai samgarahaalaya,"madana bhanadaaraii samaà¥ƒtai samgarahaalaya is a well-known location, located at MH6X+PHP, mahaenadara raajamaaraga, uralaabaaraii 56600, naepaala. It is known for being a  museum. It offers a variety of experiences for visitors.",231
4015,"Statue of The First Martyre of Nepal, Captain Lakhan Thapa Magar","Statue of The First Martyre of Nepal, Captain Lakhan Thapa Magar is a well-known location, located at 2G27+253, thaulao laumapaeka 32600, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors.",231
6253,sharaii shaailaeshaâ€waraii manadaira,"sharaii shaailaeshaâ€waraii manadaira is a well-known location, located at sailagadhaii maukhayaemaaraga, daipaayala sailagadhaii 10800, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors.",231
4492,YAKTHUNG NAMUNA GHAR Yangwarak -5 yangsingbung Panchthar nepal,"YAKTHUNG NAMUNA GHAR Yangwarak -5 yangsingbung Panchthar nepal is a well-known location, located at Yangwarak, 5, Yangsingbung, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors.",231
5339,kajibhume Than Narchyang (kaajaibhaumae thaana naarachayaangaga ),"kajibhume Than Narchyang (kaajaibhaumae thaana naarachayaangaga ) is a well-known location, located at GMGH+H2H, narachayaamga 33200, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors.",231
